"","vapourpres_h09","time"
"313",11.037109375,1980-11-08
"314",10.3671875,1980-11-09
"315",4.287109375,1980-11-10
"316",4.63671875,1980-11-11
"317",3.2470703125,1980-11-12
"318",12.2666015625,1980-11-13
"319",9.9970703125,1980-11-14
"320",9.4873046875,1980-11-15
"321",5.876953125,1980-11-16
"322",10.2265625,1980-11-17
"323",12.1767578125,1980-11-18
"324",7.1865234375,1980-11-19
"325",5.52734375,1980-11-20
"326",9.4970703125,1980-11-21
"327",10.197265625,1980-11-22
"328",5.9873046875,1980-11-23
"329",4.5869140625,1980-11-24
"330",5.796875,1980-11-25
"331",5.107421875,1980-11-26
"332",14.607421875,1980-11-27
"333",13.3466796875,1980-11-28
"334",11.5771484375,1980-11-29
"335",5.607421875,1980-11-30
"336",14.23046875,1980-12-01
"337",13.48046875,1980-12-02
"338",13.419921875,1980-12-03
"339",9.3095703125,1980-12-04
"340",9.1201171875,1980-12-05
"341",9.0595703125,1980-12-06
"342",6.48046875,1980-12-07
"343",4.3203125,1980-12-08
"344",8.2001953125,1980-12-09
"345",7.009765625,1980-12-10
"346",13.5595703125,1980-12-11
"347",11.7001953125,1980-12-12
"348",12.759765625,1980-12-13
"349",9.5302734375,1980-12-14
"350",10.5302734375,1980-12-15
"351",10.240234375,1980-12-16
"352",11.099609375,1980-12-17
"353",8.25,1980-12-18
"354",4.3203125,1980-12-19
"355",3.6396484375,1980-12-20
"356",2.669921875,1980-12-21
"357",9.6298828125,1980-12-22
"358",12.3095703125,1980-12-23
"359",12.7900390625,1980-12-24
"360",14.6201171875,1980-12-25
"361",9.669921875,1980-12-26
"362",7.5498046875,1980-12-27
"363",14.5302734375,1980-12-28
"364",11.599609375,1980-12-29
"365",8.83984375,1980-12-30
"366",5.599609375,1980-12-31
"367",5.38671875,1981-01-01
"368",7.4072265625,1981-01-02
"369",13.4267578125,1981-01-03
"370",13.287109375,1981-01-04
"371",11.4873046875,1981-01-05
"372",13.546875,1981-01-06
"373",14.4365234375,1981-01-07
"374",18.376953125,1981-01-08
"375",18.6474609375,1981-01-09
"376",19.7568359375,1981-01-10
"377",15.52734375,1981-01-11
"378",12.107421875,1981-01-12
"379",12.70703125,1981-01-13
"380",15.056640625,1981-01-14
