"","vapourpres_h09","time"
"316",7.8740234375,1980-11-11
"317",9.2041015625,1980-11-12
"318",9.4638671875,1980-11-13
"319",10.6435546875,1980-11-14
"320",9.00390625,1980-11-15
"321",9.333984375,1980-11-16
"322",10.2744140625,1980-11-17
"323",11.93359375,1980-11-18
"324",11.3935546875,1980-11-19
"325",8.34375,1980-11-20
"326",16.353515625,1980-11-21
"327",17.7744140625,1980-11-22
"328",16.9638671875,1980-11-23
"329",16.18359375,1980-11-24
"330",9.6142578125,1980-11-25
"331",7.984375,1980-11-26
"332",8.4736328125,1980-11-27
"333",7.9443359375,1980-11-28
"334",5.744140625,1980-11-29
"335",6.6640625,1980-11-30
"336",8.50390625,1980-12-01
"337",8.8642578125,1980-12-02
"338",8.2138671875,1980-12-03
"339",7.494140625,1980-12-04
"340",7.3037109375,1980-12-05
"341",4.9140625,1980-12-06
"342",13.154296875,1980-12-07
"343",13.1943359375,1980-12-08
"344",5.50390625,1980-12-09
"345",5.7236328125,1980-12-10
"346",11.154296875,1980-12-11
"347",13.1142578125,1980-12-12
"348",12.32421875,1980-12-13
"349",9.4140625,1980-12-14
"350",9.484375,1980-12-15
"351",9.173828125,1980-12-16
"352",5.8837890625,1980-12-17
"353",4.6640625,1980-12-18
"354",4.5439453125,1980-12-19
"355",7.8740234375,1980-12-20
"356",9.0537109375,1980-12-21
"357",11.263671875,1980-12-22
"358",10.7236328125,1980-12-23
"359",7.7841796875,1980-12-24
"360",13.1240234375,1980-12-25
"361",12.6435546875,1980-12-26
"362",8.4736328125,1980-12-27
"363",7.6435546875,1980-12-28
"364",8.8740234375,1980-12-29
"365",9.5341796875,1980-12-30
"366",14.654296875,1980-12-31
"367",11.130859375,1981-01-01
"368",13.03125,1981-01-02
"369",13.94140625,1981-01-03
"370",11.701171875,1981-01-04
"371",12.271484375,1981-01-05
"372",9.470703125,1981-01-06
"373",11.041015625,1981-01-07
"374",9.6611328125,1981-01-08
"375",15.7509765625,1981-01-09
"376",12.0107421875,1981-01-10
"377",13.2509765625,1981-01-11
"378",17.5009765625,1981-01-12
"379",25.201171875,1981-01-13
"380",7.3212890625,1981-01-14
"381",10.6806640625,1981-01-15
"382",13.361328125,1981-01-16
"383",14.4814453125,1981-01-17
"384",16.87109375,1981-01-18
"385",13.5908203125,1981-01-19
"386",19.7314453125,1981-01-20
"387",16.361328125,1981-01-21
"388",8.5009765625,1981-01-22
"389",10.53125,1981-01-23
"390",13.05078125,1981-01-24
"391",12.791015625,1981-01-25
"392",13.7314453125,1981-01-26
"393",13.8310546875,1981-01-27
"394",12.1806640625,1981-01-28
"395",10.6005859375,1981-01-29
"396",11.19140625,1981-01-30
"397",16.271484375,1981-01-31
"398",19.173828125,1981-02-01
"399",11.2041015625,1981-02-02
"400",13.07421875,1981-02-03
"401",10.18359375,1981-02-04
"402",8.833984375,1981-02-05
"403",7.2236328125,1981-02-06
"404",18.00390625,1981-02-07
"405",19.083984375,1981-02-08
"406",12.07421875,1981-02-09
"407",12.9443359375,1981-02-10
"408",9.734375,1981-02-11
"409",9.5341796875,1981-02-12
"410",11.0244140625,1981-02-13
"411",13.7744140625,1981-02-14
"412",22.00390625,1981-02-15
"413",19.064453125,1981-02-16
"414",20.6142578125,1981-02-17
"415",18.32421875,1981-02-18
"416",15.263671875,1981-02-19
"417",14.6337890625,1981-02-20
"418",12.904296875,1981-02-21
"419",14.6240234375,1981-02-22
"420",8.18359375,1981-02-23
"421",13.84375,1981-02-24
"422",13.654296875,1981-02-25
"423",21.7041015625,1981-02-26
"424",19.3935546875,1981-02-27
"425",13.1240234375,1981-02-28
"426",8.6240234375,1981-03-01
"427",7.9140625,1981-03-02
"428",3.4443359375,1981-03-03
"429",19.154296875,1981-03-04
"430",21.734375,1981-03-05
"431",17.0341796875,1981-03-06
"432",8.314453125,1981-03-07
"433",7.9140625,1981-03-08
"434",10.7236328125,1981-03-09
"435",9.3935546875,1981-03-10
"436",8.654296875,1981-03-11
"437",8.2138671875,1981-03-12
"438",9.904296875,1981-03-13
"439",9.1142578125,1981-03-14
"440",8.2138671875,1981-03-15
"441",5.814453125,1981-03-16
"442",17.8935546875,1981-03-17
"443",11.6337890625,1981-03-18
"444",10.8935546875,1981-03-19
"445",11.333984375,1981-03-20
"446",12.8837890625,1981-03-21
"447",14.6142578125,1981-03-22
"448",14.9736328125,1981-03-23
"449",15.603515625,1981-03-24
"450",12.333984375,1981-03-25
"451",15.09375,1981-03-26
"452",11.673828125,1981-03-27
