"","site_location_name","ignition_d","OBJECTID","fire_id","fire_name","capture_da","extinguish","fire_type","ignition_c","capt_metho","area_ha","perim_km","state","agency","Shape__Are","Shape__Len","Data_Source.x","BurnDate","FirstDay","LastDay","Data_Source.y"
"49","WAAPIL0002",2005-11-24,300020,"999","",NA,"","Unknown","","Landsat",70,9,"WA (Western Australia)","WA DFES",6.1387699589e-05,0.082982996886521,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"50","QDABBS0002",2017-10-28,94220,"","Carnarvon Station Fire/NP/W/2017/001",NA,"2017/11/27","Bushfire","","",28316,78,"QLD (Queensland)","QPWS",0.025297429091779,0.741570299702944,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"51","WAAJAF0001",1980-04-01,162221,"999","",NA,"","Prescribed Burn","","Aerial photography",10776,58,"WA (Western Australia)","WA DFES",0.010593594144666,0.589937816388713,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"52","WAANOK0007",2015-04-18,254221,"EKM_022","Drysdale - Carson River",NA,"","Prescribed Burn","","Unknown",573192,601,"WA (Western Australia)","WA DFES",0.48126675038759,5.49978225076015,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"53","WAAPIL0012",2015-11-24,6020,"041","KNP VIGORS SOUTH",NA,"","Bushfire","Natural","Landsat",7332,489,"WA (Western Australia)","WA DFES",0.007103601278459,2.60735354737226,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"54","WAAPIL0013",2015-11-24,6020,"041","KNP VIGORS SOUTH",NA,"","Bushfire","Natural","Landsat",7332,489,"WA (Western Australia)","WA DFES",0.007103601278459,2.60735354737226,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"55","SATFLB0011",2017-05-09,237223,"390","Spring Creek Mine",NA,"","Prescribed Burn","","Unknown",161,5,"SA (South Australia)","SA DEW",0.000155239237756,0.051853840518066,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"56","QDACYP0017",2017-03-20,129424,"","Heathlands Regional Park/NP/W/2017/002",NA,"2016/12/20","Bushfire","","",26835,272,"QLD (Queensland)","QPWS",0.022862500700285,2.13000027399987,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"57","WAAJAF0001",2007-11-28,177825,"F116_SPRING","F116_SPRING",NA,"","Prescribed Burn","","Ground intelligence GPS",8852,140,"WA (Western Australia)","WA DFES",0.010702050052942,0.56870776190942,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"58","VCAAUA0011",2007-01-01,148626,"999","",NA,"","Bushfire","","",528,12,"VIC (Victoria)","VIC DEECA",0.000535022581062,0.121261961026104,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"59","QDAEIU0001",2017-02-28,110826,"","Blackbraes National Park/P/2016/003",NA,"2017/06/05","Prescribed Burn","","",961,19,"QLD (Queensland)","QPWS",0.000827337412829,0.181074905292272,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"60","QDAEIU0002",2017-02-28,110826,"","Blackbraes National Park/P/2016/003",NA,"2017/06/05","Prescribed Burn","","",961,19,"QLD (Queensland)","QPWS",0.000827337412829,0.181074905292272,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"61","TCATCH0004",2001-01-03,54226,"1620","Todds Corner (FT)",NA,"","Bushfire","Incendiary","",624,18,"TAS (Tasmania)","TAS DNRE",0.000677832234032,0.203520044760537,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"62","SAAFLB0005",2014-01-15,311228,"201401090","Bangor",NA,"","Bushfire","","Aerial photography",33357,490,"SA (South Australia)","SA DEW",2.0430597033e-05,0.040855363381708,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"63","SAAFLB0005",2014-01-15,311230,"201401090","Bangor",NA,"","Bushfire","","Aerial photography",33357,490,"SA (South Australia)","SA DEW",0.000334270939675,0.139480241065819,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"64","WAALSD0003",2000-12-31,228828,"999","",NA,"","Bushfire","Undetermined","Landsat",42754,1434,"WA (Western Australia)","WA DFES",0.043128152010695,7.26645061895081,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"65","WAAPIL0007",2009-11-19,81028,"999","",NA,"","Unknown","","Landsat",2598,136,"WA (Western Australia)","WA DFES",0.00236045062411,1.04070193828108,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"66","NSTSYB0002",2001-11-16,73029,"9/99, 25","Sth Bowen Mounta",NA,"","Prescribed Burn","","",20,11,"NSW (New South Wales)","NSW PWS",1.9205807348e-05,0.102849177942566,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"67","QDAEIU0004",2002-12-06,199430,"","Blackbraes National Park/2002/W/1",NA,"","Bushfire","","",31266,96,"QLD (Queensland)","QPWS",0.026907497171123,0.89575267798512,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"68","SAAKAN0004",1988-10-20,194630,"0","",NA,"","Bushfire","","Unknown",241,9,"SA (South Australia)","SA DEW",0.000240237103299,0.090937367731895,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"69","WAACEK0003",2016-10-31,64629,"015","Mt Broome 2",NA,"","Bushfire","Natural","Landsat",61548,512,"WA (Western Australia)","WA DFES",0.056025001163107,3.69999997100437,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"70","QDAEIU0001",2021-03-01,200232,"","Blackbraes National Park/P/2021/001",NA,"2021/07/09","Prescribed Burn","","",9046,462,"QLD (Queensland)","QPWS",0.007797123527553,4.18047577868899,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"71","WAACEK0002",2008-09-25,149032,"14","KING LEOPOLD RANGES",NA,"","Unknown","","Aerial photography",244588,337,"WA (Western Australia)","WA DFES",0.207539700635607,3.11698220323499,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"72","SAAEYB0022",1977-12-31,99232,"0","",NA,"","Bushfire","","Unknown",13829,148,"SA (South Australia)","SA DEW",0.013715897420298,1.0311607743963,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"73","SAAEYB0023",1977-12-31,99232,"0","",NA,"","Bushfire","","Unknown",13829,148,"SA (South Australia)","SA DEW",0.013715897420298,1.0311607743963,"Historical_BushFires_Boundaries",NA,NA,NA,NA
