"","V1","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","grass","shrub","tree","vegetation_type"
"18",82,"NSTSYB0003",0,0,0,0,0,0.1,2.7,0,0,0,0,0,0,11.6,69.1,0,0,0,70.1,0.6,0,14.9,69.1,70.1,"tree"
"19",680,"WAAPIL0023",0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,13.5,0,0,0,25.2,18,0.6,20.6,14.1,25.2,"tree"
"20",503,"SATFLB0022",0,0,0.3,0,0,0.05,1.65,0,0,0,5.2,0,0,0,3.85,2.35,0,20.35,2.1,3.95,0,10.8,6.5,22.45,"tree"
"21",330,"QDAMGD0025",0,0,0,0,0.2,0,0.1,0,0,0,0.2,0,0,0,5.3,0,0,0,22.5,0.7,0,1,5.3,22.5,"tree"
"22",74,"NSANAN0001",0,0,0,0,0,0,2.1,0,0,3.4,0,0,4.6,0,4.4,0,0,0,66.1,31.7,0,38.4,7.8,66.1,"tree"
"23",168,"NTAGFU0030",0,0,0,0,0,0.2,1.2,0,0,0,0.5,0,0,0.7,3.1,0,0,0,49.5,28.4,0,30.8,3.1,49.5,"tree"
"24",342,"QDASEQ0004",0,0,0,0,0,0.1,3.5,0,0,1.7,0,0,7.2,2.9,22.9,0,0,0,112.1,16.6,8.1,30.2,32.7,112.1,"tree"
"25",337,"QDAMUL0002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8,0,0,0,0,48.8,"tree"
"26",394,"SAAFLB0008",0,0,2.4,0,0.1,0,2.2,0,0,0,0,0,0,0,16.9,0,0,0,19.6,0,0,2.2,19.3,19.6,"tree"
"27",528,"TCATCH0004",0,6.5,0,0,0,0,3.8,0,0,3.2,0,0,0,0,3.2,1.3,0,5.9,26.6,8.6,0,12.4,7.7,32.5,"tree"
"28",108,"NTAFIN0003",0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,4.16666666666667,0,0,0,13.4,9.8,0.0666666666666667,10.4666666666667,4.23333333333333,13.4,"tree"
"29",222,"QDABBN0002",0,0,0,0,0,0.2,0.8,0,0,0,0,0,0,0.3,11.2,0,0,0.1,48.6,15.8,0.6,16.9,11.8,48.7,"tree"
"30",57,"NSAMDD0020",0,0,1.9,0,0,0,10.3,0,0,0,0,0,0,0,2.3,0,0,0,26.1,1,0,11.3,4.2,26.1,"tree"
"31",593,"WAACOO0024",0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,72.8,0,0,0,3.5,0.5,0,0.6,72.8,3.5,"shrub"
"32",384,"SAAEYB0028",0,0,0.2,0,0,0,2.6,0,0,0,0.1,0,3.2,0.1,14.1,0,0,0,0,1.3,0,7.3,14.3,0,"shrub"
"33",598,"WAACOO0029",0,0,0,0,0,0,0.2,0,0,0,43.3,0,0,15,47.9,12.3,0,0,2,0,0,58.5,60.2,2,"shrub"
"34",416,"SAAKAN0009",0,0,0,0,0,0,1.35,0,1.05,0.95,0,0,0,5.2,80.65,19.05,0,14.95,0,0,0.4,6.55,102.1,14.95,"shrub"
"35",451,"SAASTP0023",0,0,15.1,0,0,0.3,2.9,0,0,0,0,0,0,0.2,0.8,0,0,0,0,9.6,0,12.7,15.9,0,"shrub"
"36",462,"SAASTP0034",0,0,40.4,0,0,0,0.2,0,0,0,0,0,0,0,2.4,0,0,0,0,2.4,0,2.6,42.8,0,"shrub"
"37",470,"SASMDD0009",0,0,6.3,0,0,0,5.9,0,0,0,0,0,0,0,13.7,0,0,0,2.2,1,0,6.9,20,2.2,"shrub"
"38",585,"WAACOO0016",0,0,0,0,0,0,0.4,0,0,0,15.1,0,0,25.7,51.2,1.5,0,0,2.6,0,1.3,41.2,54,2.6,"shrub"
"39",595,"WAACOO0026",0,0,0,0,0,0,0,0,0,0,34.3,0,0,0,58.1,3.8,0,0,3,0,0.1,34.3,62,3,"shrub"
"40",377,"SAAEYB0021",0,0,0,0,0,0,1.8,0,0,29.1,18.7,0,0.1,2.6,6.2,5.9,0,0,0,0.2,0.5,23.4,41.7,0,"shrub"
"41",654,"WAANUL0003",0,0,12.1,0,0,0,4,0,0,0,0,0,0,0,10.8,0,0,0,9.6,3.9,0,7.9,22.9,9.6,"shrub"
"42",364,"SAAEYB0001",0,0,25.4,0,0,0,36.9,0,0,0,0,0,0,0,17.2,0,0,0,0,1.3,0,38.2,42.6,0,"shrub"
"43",84,"NSTSYB0005",0,0,0,0,0,0.5,14.5,0,0,0,0,0,1.2,17.2,51.1,0,0,0,51.7,0.9,0.6,33.8,51.7,51.7,"shrub"
"44",123,"NTAFIN0018",0,0,5.3,0,0,0,0.2,0,0,0,0,0,0,0,19.8,0,0,0,0.1,9.7,0,9.9,25.1,0.1,"shrub"
"45",669,"WAAPIL0010",0,0,0,0,0,0,0.7,0,0,0,17.4,0,0,0,21.6,0,0,0,4,0,0,18.1,21.6,4,"shrub"
"46",295,"QDAGUP0021",0,0,0,0,0.2,0,0.5,0,0,0,0,0,0,2.1,12.4,0,0,0,20.1,2.1,7.9,4.7,20.3,20.1,"shrub"
"47",232,"QDABBS0010",0,0,7.3,0,0,0.4,39.2,0,0,0,0,0,0,0.3,73.9,0,0,0,42,11.5,1.8,51,83,42,"shrub"
"48",257,"QDACYP0018",0,0,0,0,0,0,1.6,0,0,0,0,0,3.2,10.6,51.4,0,0,0,39,7.5,2.1,22.9,53.5,39,"shrub"
"49",392,"SAAFLB0005",0,0,0.1,0,0,0,10.6,0,0,0,0,0,0,0,49.6,0,0,0,0,3.4,2.2,14,51.9,0,"shrub"
"50",579,"WAACOO0007",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,45.7,0,0,14.4,0.4,0.2,0,0.3,45.7,14.8,"shrub"
"51",461,"SAASTP0033",0,0,5.5,0,0,0,0.4,0,0,0,0,0,0,0,0.1,0,0,0,0,1.2,0,1.6,5.6,0,"shrub"
"52",504,"SATFLB0023",0,0,0.15,0,0,0,4.75,0,0,0,0,0,0,0,8.95,0,0,0,0.1,0.75,0,5.5,9.1,0.1,"shrub"
"53",610,"WAAGES0001",0,0,0,0,0,0,0.75,0,0,19.35,0.25,0,0,13.3,26.1,0,0,0,0.35,0.35,0.45,14.65,45.9,0.35,"shrub"
"54",17,"NSABHC0011",0,0,18.6,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,15.4,18.6,0,"shrub"
"55",65,"NSAMDD0028",0,0,9.5,0,0,0,0.8,0,0,0,0,0,0,0,17.9,0,0,0,0,1.1,0,1.9,27.4,0,"shrub"
"56",474,"SASMDD0014",0,0,8,0,0,0,0.9,0,0,0,0,0,0,0,10.3,0,0,0,2.2,0,0,0.9,18.3,2.2,"shrub"
"57",627,"WAALSD0002",0,0,0,0,0,0,0.1,0,0,0,31.6,0,0,0,45,0,0,0,0,3.7,0,35.4,45,0,"shrub"
"58",569,"WAACAR0004",0,0,17.6,0,0,0,8.6,0,0,0,0,0,0,0,0.1,0,0,0,0,2.6,0,11.2,17.7,0,"shrub"
"59",403,"SAAGAW0008",0,0,9.9,0,0,0,0.7,0,0,0,0,0,0,0,4.1,0,0,0,0,2.8,0,3.5,14,0,"shrub"
"60",596,"WAACOO0027",0,0,0,0,0,0,0.1,0,0,0,29.6,0,0,5.4,44.3,4,0,0,1,0,0,35.1,48.3,1,"shrub"
"61",649,"WAANOK0006",0,0,0,0,0,0.4,2.6,0,0,0,0,0,1.7,4.9,17.3,0,0,0,23.3,22.2,0,31.4,17.3,23.3,"grass"
"62",217,"NTTDMR0003",0,0,0,0,0,0,2.7,0,0,0,2.2,0,0,13.2,3,0,0,0,4.5,30.6,2.2,48.7,5.2,4.5,"grass"
"63",207,"NTASTU0004",0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,5.9,0,0,0,20.6,66.7,4.5,71.6,10.4,20.6,"grass"
"64",539,"TCATNM0003",0,16,0,0,0,0,9.5,0,0,17.2,0,0,1.6,0,0.1,0,0,0,25.5,42.8,0,53.9,17.3,25.5,"grass"
"65",357,"QDASSD0015",0,0,1.03333333333333,0,0,0,1.7,0,0,0,0,0,0,5.16666666666667,7.23333333333333,0.433333333333333,0,0,0.8,18.7333333333333,0,25.6,8.7,0.8,"grass"
"66",245,"QDACYP0006",0,0,0,0,0,0,5,0,0,0,0,0,0,0.2,11.6,0,0,0,28.3,54.9,0.4,60.1,12,28.3,"grass"
"67",283,"QDAGUP0009",0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0.4,0,0,0,0.4,47,0,48.5,0.4,0.4,"grass"
"68",390,"SAAFLB0003",0,0,0,0,0,1.1,30.85,0,0,0.15,0,0,4.3,0.4,2.75,0,0,0,45.8,25.2,0.1,60.75,3,45.8,"grass"
"69",688,"WAAPIL0031",0,0,0,0,0,0,0.1,0,0,0,45.2,0,0,0,4.1,0,0,0.4,8.4,0.9,0.4,46.2,4.5,8.8,"grass"
"70",328,"QDAMGD0023",0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,9.3,0,0,0,15,33.4,0,38.1,9.3,15,"grass"
"71",537,"TCATNM0001",0,0,0,0,0,0,69.4,0,0,6.7,0,0,1.3,0.1,8.5,0,0,0,50.9,4.4,0.1,75.2,15.3,50.9,"grass"
"72",102,"NTADAC0001",0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,22.4,0,0,0,30.4,97.4,2,98.7,24.4,30.4,"grass"
"73",467,"SASMDD0005",0,0,11.75,0,0,0,15.15,0,0,0,0.1,0,0,0,2.05,0,0,0,0,5.45,0,20.7,13.8,0,"grass"
"74",564,"WAAAVW0006",0,0,0,0,0,3.1,34.4,0,0,2.1,0,0,0,0,19.4,0,0,0,1.2,1.2,3.3,35.6,24.8,1.2,"grass"
"75",38,"NSAMDD0001",0,0,9.2,0,0,0,39.2,0.2,0,0,0,1.3,0,0,0,0,0,0,0,0.9,0,40.1,9.2,0,"grass"
"76",111,"NTAFIN0006",0,0,0.333333333333333,0,0,0,5.03333333333333,0,0,0,1.6,0,0,0.0666666666666667,1.43333333333333,0,0,0,0.166666666666667,5.53333333333333,0,12.2333333333333,1.76666666666667,0.166666666666667,"grass"
"77",385,"SAAEYB0029",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,5.5,0,0,0,0,13.2,0,13.7,5.5,0,"grass"
"78",158,"NTAGFU0020",0,0,0,0,0,0,1.8,0,0,0,14.7,0,0,0,37.3,0,0,0.5,0.4,47.5,0.3,64,37.6,0.9,"grass"
"79",681,"WAAPIL0024",0,0,1.2,0,0,0.7,4.3,0,0,0,0,0,0,0,12.6,0,0,0,9.2,10,0.2,14.3,14,9.2,"grass"
"80",500,"SATFLB0019",0,0,2.05,0,0,0,1.35,0,0,0,14.9,0,0,0,3.4,0,0,0,2.6,13.95,0,30.2,5.45,2.6,"grass"
"81",224,"QDABBS0002",0,0,9.5,0,0,0,3.3,0,0,0,0,0,0,7.5,0,0,0,0,0,45.6,0.8,56.4,10.3,0,"grass"
"82",293,"QDAGUP0019",0,0,10.5,0,0,0,1.1,0,0,0,0,0,0,0,0.1,0,0,0,0,18.1,0,19.2,10.6,0,"grass"
"83",269,"QDAEIU0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,6.2,0,6.2,0,0.3,"grass"
"84",261,"QDACYP0022",0,0,0,0,0,0,3.5,0,0,0,0,0,0.2,44.8,7.5,0.1,0,0,41.2,13.6,0,62.1,7.6,41.2,"grass"
"85",552,"VCAAUA0012",0,3.1,0,0,0,0,39.8,0,0,1,0,0,0,25.1,0.2,0,0,0,0,74.6,0,139.5,1.2,0,"grass"
"86",307,"QDAMGD0002",0,0,0.5,0,0,0,2.6,0,0,0,0,0,0,1.2,5,0,0,0,14.4,19.8,0,23.6,5.5,14.4,"grass"
"87",329,"QDAMGD0024",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.4,0,0,0,1.2,5.8,0,5.9,0.4,1.2,"grass"
"88",152,"NTAGFU0014",0,0,0,0,0,0,0.6,0,0,0,3.5,0,0,6.7,1.7,0,0,0,13.2,14.2,0,25,1.7,13.2,"grass"
"89",104,"NTADMR0001",0,0,0,0,0,0,0.1,0,0,0.1,19,0,0,1.9,4.5,0,0,0,0.1,1.2,0.3,22.2,4.9,0.1,"grass"
"90",599,"WAACOO0030",0,0,21.5,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,22.1,21.5,0,"grass"
