"","site_unique","green","brown","bare","other","error"
"902","WAAMUR0003-58755",29.1,18.5,52,0.4,0
"903","WAAMUR0004-58813",23,8.8,68.2,NA,4
"904","WAAMUR0005-58761",28.5,12.7,58.5,0.3,0
"905","WAAMUR0006-58763",10.8,37.1,52,0.1,0
"906","WAAMUR0007-58812",49.8,11,39.2,NA,4
"907","WAAMUR0008-58765",14.6,11.1,74.1,0.3,0
"908","WAAMUR0028-53572",44.9,21.9,33,0.3,0
"909","WAAMUR0028-59009",35.7,24.2,39.6,0.5,0
"910","WAAMUR0029-53573",42.8,36.2,20.6,0.4,0
"911","WAAMUR0029-59010",35,27.6,37.4,0,0
"912","WAAMUR0030-53464",37.2,33.9,28.9,NA,4
"913","WAAMUR0030-58978",26.5,23.8,49.7,NA,4
"914","WAAMUR0031-53465",46.1,26.1,27.6,0.1,0
"915","WAAMUR0031-58979",37.5,19,42.5,1,0
"916","WAANOK0001-58752",38,25.7,36,0.2,0
"917","WAANOK0002-58754",37,32.3,30.7,NA,4
"918","WAANOK0003-58773",53.2,35.3,11.3,0.2,0
"919","WAANOK0004-58756",92.3,7,0.7,NA,4
"920","WAANOK0005-58746",58.3,11.1,30.6,NA,4
"921","WAANOK0006-58753",61,31.9,7.1,NA,4
"922","WAANOK0007-58762",50.8,38.9,10.2,0.1,0
"923","WAANOK0008-58744",76.9,14.9,7.1,1.1,0
"924","WAANUL0001-56966",32.7,35.1,32.2,NA,4
"925","WAANUL0002-56945",31.8,40.3,27.8,0.1,0
"926","WAANUL0003-56946",29.4,44.2,26.3,0.1,0
"927","WAANUL0004-56967",25.3,46.3,28.3,NA,4
"928","WAANUL0005-56931",37.4,33.8,28.8,NA,4
"929","WAANUL0006-56929",31.9,41.3,26.7,0.1,0
"930","WAANUL0007-56932",33.4,49,17.6,NA,4
"931","WAANUL0008-56933",10.1,54.6,34.7,0.7,0
"932","WAANUL0009-56934",18.8,70.2,10.8,0.2,0
"933","WAAPIL0001-57619",61.5,15,23.6,NA,4
"934","WAAPIL0001-58982",48.1,10.8,41.1,NA,4
"935","WAAPIL0002-57620",51.5,28.1,20.4,NA,4
"936","WAAPIL0003-57601",2.5,13.9,83.7,NA,4
"937","WAAPIL0004-57085",28.2,21.3,50.4,0.1,0
"938","WAAPIL0004-58998",56,15,26.5,2.5,0
"939","WAAPIL0005-57618",76.8,20.7,2.5,NA,4
"940","WAAPIL0006-57600",33,20.5,46.4,0.1,0
"941","WAAPIL0007-57602",62.3,16,21.6,0.1,0
"942","WAAPIL0008-57605",43.2,18.9,37.9,NA,4
"943","WAAPIL0009-57606",50.2,33.2,16.6,NA,4
"944","WAAPIL0010-57607",30.4,12.4,57.2,NA,4
"945","WAAPIL0011-57608",27.4,11.1,61.4,0.1,0
"946","WAAPIL0012-57609",47.1,7.5,45.3,NA,4
"947","WAAPIL0012-58983",41.8,8.4,49.8,NA,4
"948","WAAPIL0013-57610",49,9.1,41.8,0.1,0
"949","WAAPIL0013-58999",41.1,3.9,54.8,0.3,0
"950","WAAPIL0014-57611",45,39.1,15.7,0.2,0
"951","WAAPIL0014-58984",45.3,20.9,33.8,0,0
"952","WAAPIL0015-57613",61.6,13.9,24.6,NA,4
"953","WAAPIL0016-57615",79.2,13,7.7,0.1,0
"954","WAAPIL0017-57616",48,9.5,42.5,NA,4
"955","WAAPIL0017-59000",33.7,3.7,62.7,NA,4
"956","WAAPIL0018-57617",68.2,18.4,13.4,NA,4
"957","WAAPIL0018-59001",48.9,27.8,23.3,NA,4
"958","WAAPIL0019-57614",28.3,13.8,57.9,NA,4
"959","WAAPIL0019-58985",26.3,14,59.7,NA,4
"960","WAAPIL0020-58032",21.6,13.5,65,NA,4
"961","WAAPIL0021-58034",21.5,15.3,63.1,0.1,0
"962","WAAPIL0022-58035",37.6,30,32.4,NA,4
"963","WAAPIL0023-58036",41.6,19.8,38.6,0,0
"964","WAAPIL0023-59002",57.9,10.9,30.9,0.3,0
"965","WAAPIL0024-58040",27.4,15.4,57.1,NA,4
"966","WAAPIL0024-58986",33.8,11.7,54.6,NA,4
"967","WAAPIL0025-58043",54.4,25.6,20,0,0
"968","WAAPIL0025-59003",72.6,19.2,7.7,0.5,0
"969","WAAPIL0026-58044",19,19.4,61.6,0,0
"970","WAAPIL0026-59004",27.1,13.6,59.2,0.1,0
"971","WAAPIL0027-58041",19.5,9.1,71.4,0,0
"972","WAAPIL0027-58987",41.6,11.1,45.4,1.9,0
"973","WAAPIL0028-58042",21.5,11.6,66.9,NA,4
"974","WAAPIL0028-58988",29.6,11.5,58.9,NA,4
"975","WAAPIL0029-58045",41.1,35,24,0,0
"976","WAAPIL0029-59005",58.7,21.8,19.3,0.2,0
"977","WAAPIL0030-58057",42.8,15.4,41.8,NA,4
"978","WAAPIL0031-58415",52.8,7.8,39.4,NA,4
"979","WAAPIL0032-58416",13.2,23,63.9,NA,4
"980","WAAPIL0033-58417",25.4,61.8,12.8,NA,4
"981","WAAPIL0034-58418",36.2,20.4,43.4,NA,4
"982","WAAPIL0035-58419",37.4,15.6,46.9,NA,4
"983","WAASWA0001-58029",53.4,45.6,0.9,0.1,0
"984","WAASWA0002-58030",61.3,37.8,0.8,0.1,0
"985","WAASWA0003-58031",73.2,25.9,0.9,NA,4
"986","WAASWA0004-58499",61.6,34.9,3.6,NA,4
"987","WAAVIB0001-58494",56.9,32.8,10.3,NA,4
"988","WAAVIB0001-59006",78,11.2,10.8,NA,4
"989","WAAVIB0002-58497",35.3,14.5,50.1,0.1,0
"990","WAAVIB0002-59007",27.2,21.9,50.7,0.2,0
"991","WAAVIB0003-58500",59.3,32.2,8.5,0,0
"992","WAAVIB0003-58989",57.6,31.3,11,0.1,0
"993","WAAVIB0004-58504",68.9,23.3,7.6,0.2,0
"994","WAAYAL0001-58784",55.8,15,29.1,NA,4
"995","WAAYAL0002-58818",47.4,21.9,30.7,NA,4
"996","WAAYAL0003-58780",57.8,22.3,19.9,NA,4
"997","WAAYAL0004-58820",67.3,27.6,5,NA,4
"998","WAAYAL0005-58781",62.9,14.8,22.4,NA,4
"999","WAAYAL0006-58766",32.5,14.5,53,0.1,0
"1000","WAAYAL0007-58819",23.4,39.7,36.9,NA,4
"1001","WAAYAL0008-58814",37.7,17.3,44.9,0.1,0
"1002","WAGCOO0001-53613",28.1,37.7,34.2,NA,4
"1003","WAGCOO0002-53614",52.1,16.1,31.8,NA,4
"1004","WAGCOO0004-53615",35.9,49.2,14.9,NA,4
