,site_location_name,M1_Negatives,M2_Negatives
491,SATFLB0008,24,40
492,SATFLB0009,24,40
493,SATFLB0010,44,81
494,SATFLB0011,3,9
495,SATFLB0012,5,10
496,SATFLB0013,220,443
497,SATFLB0014,16,33
498,SATFLB0015,41,60
499,SATFLB0016,28,44
500,SATFLB0017,28,44
501,SATFLB0018,40,49
502,SATFLB0019,18,29
503,SATFLB0020,10,17
504,SATFLB0021,21,31
505,SATFLB0022,18,29
506,SATFLB0023,13,22
507,SATFLB0024,13,15
508,SATFLB0025,24,27
509,SATFLB0026,59,86
510,SATFLB0027,68,114
511,SATFLB0028,13,71
512,SATKAN0001,34,53
513,SATKAN0002,151,264
514,SATKAN0003,37,62
515,SATKAN0004,85,170
516,SATSTP0001,0,5
517,SATSTP0002,0,4
518,SATSTP0003,5,7
519,SATSTP0004,4,6
520,SATSTP0005,11,12
521,SATSTP0006,9,12
522,SATSTP0007,9,12
523,SATSTP0008,11,12
524,TCABEL0001,819,934
525,TCABEL0002,819,934
526,TCABEL0003,819,934
527,TCATCH0001,2378,2839
528,TCATCH0002,990,1412
529,TCATCH0003,922,1340
530,TCATCH0004,654,991
531,TCATCH0005,1121,1577
532,TCATCH0006,755,1153
533,TCATCH0007,1270,1695
534,TCATCH0008,1218,1607
535,TCATCH0009,1010,1373
536,TCATCH0010,1142,1582
537,TCATCH0011,1065,1497
538,TCATCH0012,322,530
539,TCATNM0001,135,374
540,TCATNM0002,81,200
541,TCATNM0003,179,450
542,TCATNM0004,105,292
543,TCATNM0005,187,485
544,TCATNM0006,105,265
545,VCAAUA0001,2445,2712
546,VCAAUA0002,2445,2712
547,VCAAUA0003,498,585
548,VCAAUA0005,2445,2712
549,VCAAUA0007,1085,1214
550,VCAAUA0008,1085,1214
551,VCAAUA0009,2445,2712
552,VCAAUA0010,471,519
553,VCAAUA0011,684,823
554,VCAAUA0012,684,823
555,VCAAUA0013,875,1013
556,VCAAUA0014,875,1013
557,VCAAUA0015,875,1013
558,VCAMDD0001,31,60
559,VCAMDD0002,33,57
560,VCAMDD0003,36,65
561,WAAAVW0001,13,38
562,WAAAVW0002,17,44
563,WAAAVW0003,44,126
564,WAAAVW0004,44,126
565,WAAAVW0005,19,24
566,WAAAVW0006,19,24
567,WAAAVW0007,17,24
568,WAACAR0001,4,11
569,WAACAR0002,6,13
570,WAACAR0003,4,13
571,WAACAR0004,4,10
