"","time","bs","pv","npv","ue","spatial_ref","sfg_id","point_id","x","y"
"373",2006-01-12 00:16:26.066386,49.9285714285714,1,47.9285714285714,7.42857142857143,3577,20224.1428571429,20224.1428571429,916320,-3509391.42857143
"374",2006-01-20 00:16:29.755426,45.75,0.0357142857142857,53,7.32142857142857,3577,20258.5,20258.5,916310.357142857,-3509431.07142857
"375",2006-01-28 00:16:33.318603,53.1071428571429,2.96428571428571,42.5357142857143,7.60714285714286,3577,20314.5,20314.5,916310.357142857,-3509431.07142857
"376",2006-02-05 00:16:53.267114,58.3571428571429,0,40.7857142857143,4.28571428571429,3577,20370.5,20370.5,916310.357142857,-3509431.07142857
"377",2006-02-13 00:16:38.003248,54.7142857142857,2.10714285714286,41.8214285714286,7.57142857142857,3577,20426.5,20426.5,916310.357142857,-3509431.07142857
"378",2006-02-21 00:17:14.13361,54,0.285714285714286,44.5,7.21428571428571,3577,20482.5,20482.5,916310.357142857,-3509431.07142857
"379",2006-03-01 00:16:40.442665,53,2.35714285714286,43.0357142857143,7.82142857142857,3577,20538.5,20538.5,916310.357142857,-3509431.07142857
"380",2006-03-09 00:17:34.120044,56.0357142857143,0.5,42.25,7.64285714285714,3577,20594.5,20594.5,916310.357142857,-3509431.07142857
"381",2006-03-17 00:16:40.733992,52.5714285714286,1.89285714285714,44.1071428571429,7.85714285714286,3577,20650.5,20650.5,916310.357142857,-3509431.07142857
"382",2006-04-10 00:18:10.536512,55.8571428571429,1.25,41.4642857142857,7.78571428571429,3577,20734.5,20734.5,916310.357142857,-3509431.07142857
"383",2006-04-18 00:16:34.331778,51.5357142857143,3.35714285714286,43.75,8.5,3577,20790.5,20790.5,916310.357142857,-3509431.07142857
"384",2006-04-26 00:18:26.275444,53.9642857142857,1.78571428571429,42.8928571428571,7.92857142857143,3577,20846.5,20846.5,916310.357142857,-3509431.07142857
"385",2006-05-04 00:16:38.053813,51.6785714285714,2.28571428571429,44.4642857142857,8.5,3577,20902.5,20902.5,916310.357142857,-3509431.07142857
