"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","grass","shrub","tree","vegetation_type"
"38","NSACHC0004",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,22.8,0,0,0,0.9,0.6,0,0.6,23.3,0.9,"shrub"
"39","NSACOP0001",0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,12.2,0.1,0,1.2,0,12.2,"tree"
"40","NSACOP0002",0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,30.1,0.2,0,0.3,0.4,30.1,"tree"
"41","NSAMDD0001",0,0,9.1,0,0,0,36.7,0.2,0,0,0,1.3,0,0,0,0,0,0,0,0.9,0,37.6,9.1,0,"grass"
"42","NSAMDD0002",0,0,1.7,0,0,0,0.1,0,0,0,17.3,0,0,0,0.9,0.3,0,42.7,0,0.2,0,17.6,2.9,42.7,"tree"
"43","NSAMDD0003",0,0,13.4,0,0,0,5,0,0,0,0,0,0,0,44.2,0,0,0.2,0.6,0,0,5,57.6,0.8,"shrub"
"44","NSAMDD0004",0,0,17,0,0,0,12,0,0,0,0,0,0,0,1.8,0,0,0,10.6,0.4,0,12.4,18.8,10.6,"shrub"
"45","NSAMDD0005",0,0,4.2,0,0,0,3.9,0,0,0,0,0.3,0,0,1.3,0,0,24.7,0,0.1,0,4,5.5,24.7,"tree"
"46","NSAMDD0006",0,0,28.9,0,0.1,0,1.2,0,0,0,0,0,0,0,0.3,0,0,0,11.8,0.2,0,1.4,29.2,11.8,"shrub"
"47","NSAMDD0007",0,0,0.9,0,0,0,0,0,0,0,8.8,0,0,0,18.1,3.5,0,12.5,1.4,0,0,8.8,22.5,13.9,"shrub"
"48","NSAMDD0008",0,0,5.6,0,0,0,0.4,0,0,0,0,0,0,0,24.9,0,0,0,2.9,0.4,0.1,0.8,30.6,2.9,"shrub"
"49","NSAMDD0009",0,0,1.8,0,0.7,0,0,0,0,0,0,0,0,0,1.9,0,0,0,29.9,0,0.1,0,3.8,29.9,"tree"
"50","NSAMDD0010",0,0,22.3,0,0,0,33.2,0,0,0,0,0,0,0,0.5,0,0,0.3,0,0.4,0,33.6,22.8,0.3,"grass"
"51","NSAMDD0011",0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,1.3,0.1,0,15,0,0,0,11.7,1.4,15,"tree"
"52","NSAMDD0012",0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,"shrub"
"53","NSAMDD0013",0,0,6.7,0,0,0,5.2,0,0,0,4.8,0,0,0,4.4,0.3,0,11.4,0.1,0,1.3,10,12.7,11.5,"shrub"
"54","NSAMDD0014",0,0,0.2,0,0,0,0,0,0,0,32.5,0,0,0,1.8,0.5,0,22.1,1.8,0,0,32.5,2.5,23.9,"grass"
"55","NSAMDD0015",0,0,1.3,0,0,0,0,0,0,0,0,0.1,0,0,5.7,0,0,0,24.7,0.1,0,0.1,7,24.7,"tree"
"56","NSAMDD0016",0,0,7.9,0,0,0,25.8,0,0,0,0,0,0,0,3.1,0,0,0,0,1.7,0,27.5,11,0,"grass"
"57","NSAMDD0017",0,0,1.5,0,0.1,0,2.9,0,0,0,0,0,0,0,6.9,0,0,0,22.7,0.1,0,3,8.4,22.7,"tree"
"58","NSAMDD0018",0,0,0.8,0,0.3,0,0.7,0,0,0,0.3,0,0,0,20.3,1.9,0,27.5,3.4,0.7,0.2,1.7,23.2,30.9,"tree"
"59","NSAMDD0019",0,0,0.3,0,0,0,17.9,0,0,0,0,0.5,0,0.6,0,0,0,0,1,15.9,0,34.4,0.3,1,"grass"
"60","NSAMDD0020",0,0,1.9,0,0,0,10.2,0,0,0,0,0,0,0,2.3,0,0,0,25.9,1,0,11.2,4.2,25.9,"tree"
"61","NSAMDD0021",0,0,1.5,0,0,0,10.6,0,0,0,0,0,0,0,2.5,0,0,0,10.6,6.2,0,16.8,4,10.6,"grass"
"62","NSAMDD0022",0,0,0.3,0,0,0.1,0.5,0,0,0,0,0,0,0,36,14.3,0,16.7,0.9,1.1,0,1.6,50.6,17.6,"shrub"
