"","X","site_unique","green","brown","bare","other","error","site_location_name","visit_start_date","time","pv_filter","npv_filter","bs_filter","pv_filter_percentile","npv_filter_percentile","bs_filter_percentile"
"27",27,"NSABHC0019-57078",35.9,48.3,15.7,NA,4,"NSABHC0019","2013-03-13","2013-03-20",1.7138689368107,61.3749635092809,35.6883955008004,0.0177095631641086,0.982290436835891,0.220779220779221
"28",28,"NSABHC0020-57599",31,45.7,23.3,NA,4,"NSABHC0020","2013-03-14","2013-03-20",2.48345502928855,60.5752668384157,35.5702690991371,0.0349819059107358,0.965018094089264,0.149577804583836
"29",29,"NSABHC0021-57098",22,42.6,35.3,0.1,0,"NSABHC0021","2014-04-19","2014-04-24",9.79226745906167,55.3971255782318,33.4942699199615,0.785804020100503,0.871859296482412,0.141331658291457
"30",30,"NSABHC0022-57086",13.5,13.2,73.4,NA,4,"NSABHC0022","2014-04-19","2014-04-17",1.95792362273513,33.9758777273258,62.5411583156801,0.410351201478743,0.487369069624153,0.638940234134319
"31",31,"NSABHC0023-57099",17.9,44.7,37.4,NA,4,"NSABHC0023","2014-04-21","2014-04-17",29.9637475467837,37.3314806783514,31.2908099634825,0.9631480324797,0.272329793878826,0.16052467207995
"32",32,"NSABHC0024-57100",22.1,30.6,47.3,NA,4,"NSABHC0024","2014-04-22","2014-04-24",35.4705056462334,38.4497265710011,24.7833275811749,0.989763275751759,0.54510556621881,0.0243122200895713
"33",33,"NSABHC0025-57101",23.3,53.2,23.5,0.1,0,"NSABHC0025","2014-06-02","2014-06-11",18.1782691301079,46.9622336232264,33.571635927493,0.883353584447145,0.573511543134872,0.184690157958688
"34",34,"NSABHC0026-57102",29.4,29.3,41.3,NA,4,"NSABHC0026","2014-06-04","2014-06-11",41.7997045483377,30.5058810099745,26.3089984888789,0.967619047619048,0.12,0.174603174603175
"35",35,"NSABHC0028-58027",17.3,28.8,53.9,NA,4,"NSABHC0028","2016-09-12","2016-09-12",14.4376396595552,38.0000896571956,46.0425778737675,0.783062645011601,0.448955916473318,0.18677494199536
"36",36,"NSABHC0029-58028",71.8,23.9,4,0.4,0,"NSABHC0029","2016-09-12","2016-09-12",51.525236008394,33.3519494136704,13.3063280243988,0.919354838709677,0.238479262672811,0.116359447004608
"37",37,"NSACHC0001-58574",5.8,26.9,67.2,NA,4,"NSACHC0001","2018-04-17","2018-04-19",2.78577932781679,30.9158250882198,64.5639322217782,0.406006674082314,0.112347052280311,0.933259176863181
"38",38,"NSACHC0002-58558",20.7,47.6,31.7,NA,4,"NSACHC0002","2018-04-17","2018-04-19",13.4805896327126,37.7091062610286,47.2398426228921,0.460335195530726,0.230167597765363,0.767597765363129
"39",39,"NSACHC0003-58575",16.1,46.3,37.5,NA,4,"NSACHC0003","2018-04-18","2018-04-19",15.5948299378617,48.4528372556164,34.4444456472269,0.404017857142857,0.5859375,0.652901785714286
"40",40,"NSACHC0004-58576",20.6,29.6,49.8,NA,4,"NSACHC0004","2018-04-18","2018-04-19",5.17819883710236,37.0730429887731,56.1348410641637,0.375973303670745,0.310344827586207,0.735261401557286
"41",41,"NSACOP0001-58551",12.1,74.3,13.7,NA,4,"NSACOP0001","2018-04-10","2018-04-06",25.488225051915,54.5315132682192,18.8270619503117,0.335388409371147,0.732429099876695,0.658446362515413
"42",42,"NSACOP0002-58552",29.9,56.4,13.7,NA,4,"NSACOP0002","2018-04-11","2018-04-14",30.1473758846616,52.4886276750709,16.3060668352317,0.452261306532663,0.437185929648241,0.625628140703518
"43",43,"NSAMDD0001-56965",45.4,36.7,17.8,NA,4,"NSAMDD0001","2014-05-27","2014-05-19",52.4593336230255,37.9897273778796,8.36392451717405,0.962358845671267,0.0915934755332497,0.0489335006273526
"44",44,"NSAMDD0002-56952",55.4,37,7.5,NA,4,"NSAMDD0002","2014-05-28","2014-05-19",37.4317748766357,53.5921539760469,7.87684956569669,0.898605830164765,0.931558935361217,0.0126742712294043
"45",45,"NSAMDD0003-56968",45.5,46.3,8.1,NA,4,"NSAMDD0003","2014-05-28","2014-06-04",39.3555864929645,51.4063669072147,8.52840058887267,0.909554140127389,0.245859872611465,0.089171974522293
"46",46,"NSAMDD0004-56953",34.4,55.1,10.5,NA,4,"NSAMDD0004","2014-05-29","2014-05-19",36.2403567332363,55.5208140607021,7.33423281661246,0.889171974522293,0.585987261146497,0.0496815286624204
"47",47,"NSAMDD0005-56969",31.2,48.9,19.9,NA,4,"NSAMDD0005","2014-05-30","2014-05-28",28.8276324638511,51.8013431357007,18.1733448010511,0.697614442295293,0.955512572533849,0.11605415860735
"48",48,"NSAMDD0006-56954",34.8,43.7,21.6,NA,4,"NSAMDD0006","2014-05-30","2014-05-28",27.9084818729692,52.4482408398858,18.4908038377408,0.769078947368421,0.72828947368421,0.135526315789474
"49",49,"NSAMDD0007-56970",38.6,21.6,39.8,NA,4,"NSAMDD0007","2014-05-30","2014-05-10",27.5371053491994,46.2161301427725,24.7723631453054,0.900912646675359,0.91264667535854,0.0482398956975228
"50",50,"NSAMDD0008-56955",29.5,47.8,22.5,0.2,0,"NSAMDD0008","2014-06-01","2014-05-10",27.0353269524491,50.2387914917183,21.4316543185527,0.952134540750323,0.860284605433376,0.0439844760672704
"51",51,"NSAMDD0009-56971",32.6,47.3,20.1,NA,4,"NSAMDD0009","2014-06-01","2014-05-10",25.9149514056596,48.5207372606681,24.3898785682805,0.76853055916775,0.23927178153446,0.355006501950585
"52",52,"NSAMDD0010-56956",52.3,25.5,22.1,0.1,0,"NSAMDD0010","2014-06-02","2014-06-03",47.6095108283757,37.9931690492786,13.0808604250757,0.982120051085568,0.237547892720307,0.0153256704980843
"53",53,"NSAMDD0011-56981",27.1,17.8,55,NA,4,"NSAMDD0011","2014-06-02","2014-05-10",21.7260798025471,35.8567916985529,40.7147779264928,0.771021992238034,0.684346701164295,0.199223803363519
"54",54,"NSAMDD0012-56957",3.7,6.6,89.7,NA,4,"NSAMDD0012","2014-06-03","2014-06-03",2.07133082778862,85.4118183382425,11.8080543603354,0.748335552596538,0.709720372836218,0.249001331557923
"55",55,"NSAMDD0013-56982",26.8,33.2,40,NA,4,"NSAMDD0013","2014-06-04","2014-06-03",19.7154556673244,34.7831117874258,43.8991465894018,0.467349551856594,0.029449423815621,0.878361075544174
"56",56,"NSAMDD0014-56963",50.4,24.2,25.3,0.1,0,"NSAMDD0014","2014-06-04","2014-06-03",18.1948157855814,44.4165869312158,35.8860657589847,0.526520051746442,0.369987063389392,0.558861578266494
"57",57,"NSAMDD0015-57636",28.4,54.7,16.9,NA,4,"NSAMDD0015","2014-06-05","2014-05-10",29.0863192534976,50.7898588294471,19.0611241455273,0.8828125,0.22265625,0.171875
"58",58,"NSAMDD0016-56973",34.7,44.8,20.6,NA,4,"NSAMDD0016","2014-06-05","2014-06-27",31.9137899594518,45.2465082501224,21.6383372400519,0.973958333333333,0.502604166666667,0.0690104166666667
"59",59,"NSAMDD0017-57080",29.8,49.7,20.4,0.1,0,"NSAMDD0017","2014-08-06","2014-08-09",34.6933078101757,52.0096036574287,12.1908649486031,0.788293897882939,0.36239103362391,0.198007471980075
"60",60,"NSAMDD0018-56976",46.5,38.5,14.8,0.2,0,"NSAMDD0018","2014-08-06","2014-08-09",39.8947746439947,52.5698071708055,6.43576719118418,0.730913642052566,0.827284105131414,0.0613266583229036
