site_location_name,super_code,super_group
WAAAVW0001,7.0,Temp/Med Shrub
WAAAVW0002,7.0,Temp/Med Shrub
WAAAVW0003,8.0,Temp/Med Tree.Palm
WAAAVW0004,8.0,Temp/Med Tree.Palm
WAAAVW0005,8.0,Temp/Med Tree.Palm
WAAAVW0006,9.0,Temp/Med Tussock.grass
WAAAVW0007,7.0,Temp/Med Shrub
WAACAR0001,1.0,Desert Chenopod
WAACAR0002,5.0,Desert Tree.Palm
WAACAR0003,4.0,Desert Shrub
WAACAR0004,1.0,Desert Chenopod
WAACEK0001,10.0,Tropical/Savanna Tree.Palm
WAACEK0002,11.0,Tropical/Savanna Tussock.grass
WAACEK0003,3.0,Desert Hummock.grass
WAACOO0001,7.0,Temp/Med Shrub
WAACOO0003,7.0,Temp/Med Shrub
WAACOO0004,7.0,Temp/Med Shrub
WAACOO0005,9.0,Temp/Med Tussock.grass
WAACOO0006,7.0,Temp/Med Shrub
WAACOO0007,7.0,Temp/Med Shrub
WAACOO0008,8.0,Temp/Med Tree.Palm
WAACOO0009,4.0,Desert Shrub
WAACOO0010,6.0,Desert Tussock.grass
WAACOO0011,4.0,Desert Shrub
WAACOO0012,5.0,Desert Tree.Palm
WAACOO0016,4.0,Desert Shrub
WAACOO0017,4.0,Desert Shrub
WAACOO0018,4.0,Desert Shrub
WAACOO0019,9.0,Temp/Med Tussock.grass
WAACOO0020,4.0,Desert Shrub
WAACOO0021,4.0,Desert Shrub
WAACOO0022,5.0,Desert Tree.Palm
WAACOO0023,5.0,Desert Tree.Palm
WAACOO0024,4.0,Desert Shrub
WAACOO0025,4.0,Desert Shrub
WAACOO0026,4.0,Desert Shrub
WAACOO0027,4.0,Desert Shrub
WAACOO0028,4.0,Desert Shrub
WAACOO0029,4.0,Desert Shrub
WAACOO0030,1.0,Desert Chenopod
WAACOO0031,3.0,Desert Hummock.grass
WAACOO0032,3.0,Desert Hummock.grass
WAADAL0001,11.0,Tropical/Savanna Tussock.grass
WAADAL0002,4.0,Desert Shrub
WAADAL0003,1.0,Desert Chenopod
WAADAL0004,10.0,Tropical/Savanna Tree.Palm
WAADAL0005,11.0,Tropical/Savanna Tussock.grass
WAAESP0001,7.0,Temp/Med Shrub
WAAGAS0001,5.0,Desert Tree.Palm
WAAGAS0002,6.0,Desert Tussock.grass
WAAGES0001,7.0,Temp/Med Shrub
WAAGES0002,7.0,Temp/Med Shrub
WAAGES0003,7.0,Temp/Med Shrub
WAAGES0004,8.0,Temp/Med Tree.Palm
WAAGES0005,7.0,Temp/Med Shrub
WAAGSD0001,3.0,Desert Hummock.grass
WAAGVD0001,4.0,Desert Shrub
WAAHAM0001,4.0,Desert Shrub
WAAHAM0002,4.0,Desert Shrub
WAAHAM0003,6.0,Desert Tussock.grass
WAAHAM0004,2.0,Desert Forb
WAAHAM0005,4.0,Desert Shrub
WAAHAM0006,5.0,Desert Tree.Palm
WAAJAF0001,7.0,Temp/Med Shrub
WAAJAF0002,8.0,Temp/Med Tree.Palm
WAAJAF0003,7.0,Temp/Med Shrub
WAALSD0001,6.0,Desert Tussock.grass
WAALSD0002,4.0,Desert Shrub
WAALSD0003,3.0,Desert Hummock.grass
WAAMAL0001,4.0,Desert Shrub
WAAMAL0002,7.0,Temp/Med Shrub
WAAMAL0003,7.0,Temp/Med Shrub
WAAMUR0001,3.0,Desert Hummock.grass
WAAMUR0002,3.0,Desert Hummock.grass
WAAMUR0003,2.0,Desert Forb
WAAMUR0004,2.0,Desert Forb
WAAMUR0005,6.0,Desert Tussock.grass
WAAMUR0006,4.0,Desert Shrub
WAAMUR0007,2.0,Desert Forb
WAAMUR0008,2.0,Desert Forb
WAAMUR0028,3.0,Desert Hummock.grass
WAAMUR0029,3.0,Desert Hummock.grass
WAAMUR0030,3.0,Desert Hummock.grass
WAAMUR0031,3.0,Desert Hummock.grass
WAANOK0001,10.0,Tropical/Savanna Tree.Palm
WAANOK0002,10.0,Tropical/Savanna Tree.Palm
WAANOK0003,11.0,Tropical/Savanna Tussock.grass
WAANOK0004,11.0,Tropical/Savanna Tussock.grass
WAANOK0005,11.0,Tropical/Savanna Tussock.grass
WAANOK0006,10.0,Tropical/Savanna Tree.Palm
WAANOK0007,11.0,Tropical/Savanna Tussock.grass
WAANOK0008,11.0,Tropical/Savanna Tussock.grass
WAANUL0001,1.0,Desert Chenopod
WAANUL0002,2.0,Desert Forb
WAANUL0003,1.0,Desert Chenopod
WAANUL0004,1.0,Desert Chenopod
WAANUL0005,2.0,Desert Forb
WAANUL0006,2.0,Desert Forb
WAANUL0007,2.0,Desert Forb
WAANUL0008,1.0,Desert Chenopod
WAANUL0009,1.0,Desert Chenopod
WAAPIL0001,6.0,Desert Tussock.grass
WAAPIL0002,3.0,Desert Hummock.grass
WAAPIL0003,3.0,Desert Hummock.grass
WAAPIL0004,6.0,Desert Tussock.grass
WAAPIL0005,4.0,Desert Shrub
WAAPIL0006,3.0,Desert Hummock.grass
WAAPIL0007,6.0,Desert Tussock.grass
WAAPIL0008,6.0,Desert Tussock.grass
WAAPIL0009,6.0,Desert Tussock.grass
WAAPIL0010,4.0,Desert Shrub
WAAPIL0011,4.0,Desert Shrub
WAAPIL0012,3.0,Desert Hummock.grass
WAAPIL0013,3.0,Desert Hummock.grass
WAAPIL0014,5.0,Desert Tree.Palm
WAAPIL0015,6.0,Desert Tussock.grass
WAAPIL0016,5.0,Desert Tree.Palm
WAAPIL0017,3.0,Desert Hummock.grass
WAAPIL0018,6.0,Desert Tussock.grass
WAAPIL0019,6.0,Desert Tussock.grass
WAAPIL0020,3.0,Desert Hummock.grass
WAAPIL0021,4.0,Desert Shrub
WAAPIL0022,5.0,Desert Tree.Palm
WAAPIL0023,5.0,Desert Tree.Palm
WAAPIL0024,4.0,Desert Shrub
WAAPIL0025,5.0,Desert Tree.Palm
WAAPIL0026,1.0,Desert Chenopod
WAAPIL0027,3.0,Desert Hummock.grass
WAAPIL0028,4.0,Desert Shrub
WAAPIL0029,5.0,Desert Tree.Palm
WAAPIL0030,6.0,Desert Tussock.grass
WAAPIL0031,3.0,Desert Hummock.grass
WAAPIL0032,4.0,Desert Shrub
WAAPIL0033,6.0,Desert Tussock.grass
WAAPIL0034,3.0,Desert Hummock.grass
WAAPIL0035,3.0,Desert Hummock.grass
WAASWA0001,8.0,Temp/Med Tree.Palm
WAASWA0002,8.0,Temp/Med Tree.Palm
WAASWA0003,9.0,Temp/Med Tussock.grass
WAASWA0004,8.0,Temp/Med Tree.Palm
WAAVIB0001,11.0,Tropical/Savanna Tussock.grass
WAAVIB0002,3.0,Desert Hummock.grass
WAAVIB0003,11.0,Tropical/Savanna Tussock.grass
WAAVIB0004,11.0,Tropical/Savanna Tussock.grass
WAAYAL0002,4.0,Desert Shrub
WAAYAL0004,2.0,Desert Forb
WAAYAL0005,4.0,Desert Shrub
WAAYAL0006,9.0,Temp/Med Tussock.grass
WAAYAL0007,9.0,Temp/Med Tussock.grass
WAAYAL0008,7.0,Temp/Med Shrub
WAGCOO0001,5.0,Desert Tree.Palm
WAGCOO0002,3.0,Desert Hummock.grass
WAGCOO0004,1.0,Desert Chenopod
QDASEQ0001,8.0,Temp/Med Tree.Palm
SASMDD0013,2.0,Desert Forb
