"","site_unique","green","brown","bare","other","error","site_location_name","visit_start_date","time","pv_filter","npv_filter","bs_filter"
"65","NSAMDD0023-57083",29.3,62.9,7.8,NA,4,"NSAMDD0023",2014-08-10,2014-08-08,35.3192842344368,51.6881757259619,12.0369950573903
"66","NSAMDD0024-56986",29.5,58.4,12.1,NA,4,"NSAMDD0024",2014-08-10,2014-08-08,22.4786330800229,60.2707745470813,16.2154769894684
"67","NSAMDD0025-57084",17.8,77.8,4.4,NA,4,"NSAMDD0025",2014-08-12,2014-08-08,30.5364139566177,55.3713055988867,12.9477673325811
"68","NSAMDD0026-56987",21.8,51.5,26.7,NA,4,"NSAMDD0026",2014-08-12,2014-08-08,16.3758812476402,52.9026795701639,29.3913598133939
"69","NSAMDD0027-57087",30.5,45.3,24.2,NA,4,"NSAMDD0027",2014-08-13,2014-08-08,19.1282560440997,52.837867184136,26.8008284041159
"70","NSAMDD0028-56988",21.7,47,31.1,0.2,0,"NSAMDD0028",2014-08-13,2014-08-08,19.0278962523516,50.2418066969076,29.5265096100965
"71","NSAMDD0029-57088",19.9,54.8,25.3,NA,4,"NSAMDD0029",2014-08-14,2014-08-08,18.1685122895341,47.1744516272661,33.2937132644021
"72","NSAMDD0030-56989",27.6,52.3,20.1,NA,4,"NSAMDD0030",2014-08-14,2014-08-08,24.4643172146164,44.6122867575217,29.5170259811487
"73","NSAMDD0031-58572",31.2,44.7,24.1,0.1,0,"NSAMDD0031",2018-04-11,2018-04-14,25.1730627473624,49.3808363978569,24.1867461743587
"74","NSAMDD0032-58573",36.6,51,12.4,NA,4,"NSAMDD0032",2018-04-12,2018-04-14,24.2815798209684,54.2986005629725,20.4042431687016
"75","NSAMUL0001-58549",20.6,43.7,35.7,NA,4,"NSAMUL0001",2018-04-14,2018-04-13,18.2197723587015,45.6430429735315,34.854963663782
"76","NSAMUL0002-58559",35.1,35.3,29.3,0.2,0,"NSAMUL0002",2018-04-14,2018-04-13,20.479296181112,43.1454179850013,35.0464724903527
"77","NSAMUL0003-58550",22.2,28.8,49,NA,4,"NSAMUL0003",2018-04-15,2018-04-13,18.2850219424814,40.0078278805455,40.3060287311729
