"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","vegetation_type","relative_dominance","scaled_dom"
"58","NSAMDD0018",0,0,0.8,0,0.3,0,0.7,0,0,0,0.3,0,0,0,20.3,1.9,0,27.5,3.4,0.7,0.2,"Tree.Mallee",0.490196078431373,13.48039275
"59","NSAMDD0019",0,0,0.3,0,0,0,17.9,0,0,0,0,0.5,0,0.6,0,0,0,0,1,15.9,0,"Forb",0.494475138121547,8.85110429
"60","NSAMDD0020",0,0,1.9,0,0,0,10.2,0,0,0,0,0,0,0,2.3,0,0,0,25.9,1,0,"Tree.Palm",0.627118644067797,16.24237174
"61","NSAMDD0021",0,0,1.5,0,0,0,10.6,0,0,0,0,0,0,0,2.5,0,0,0,10.6,6.2,0,"Forb",0.337579617834395,3.57834376
"62","NSAMDD0022",0,0,0.3,0,0,0.1,0.5,0,0,0,0,0,0,0,36,14.3,0,16.7,0.9,1.1,0,"Shrub",0.515021459227468,18.540774
"63","NSAMDD0023",0,0,6.7,0,0.1,0,18.4,0,0,0,0,0,0,0,3,0,0,0,13,1.2,0.1,"Forb",0.432941176470588,7.96611808
"64","NSAMDD0024",0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,23.9,0,0,0,1,6.4,0,"Shrub",0.64247311827957,15.35510709
"65","NSAMDD0025",0,0,0.5,0,0,0,9.2,0,0,0,0,0,0,0,2.2,0,0,0,16,0.1,0,"Tree.Palm",0.571428571428571,9.1428576
"66","NSAMDD0026",0,0,0.1,0,0,0,16.2,0,0,0,0,0,0,0,7.4,0,0,0,0,0.2,0,"Forb",0.677824267782427,10.98075366
"67","NSAMDD0027",0,0,0.8,0,0.1,0.4,0.4,0,0,0,0,0.1,0,0,2.2,0,0,0,29.1,0.4,0,"Tree.Palm",0.868656716417911,25.27790997
