"","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine"
"NTAFIN0002-53622",0,0,2.2,0,0.1,0,3.2,0,0,0,0,0,0,0.4,4.2,0,0,0,20.7,66.5,0
"NTAFIN0002-58018",0,0,3,0,0,0,2.7,0,0,0,0,0,0,1.7,17.7,0,0,0,8.3,26.4,0
"NTAFIN0002-58787",0,0,2.4,0,0,0,1.4,0,0,0,19.1,0,0,0.6,17.8,0,0,0.1,11.9,5,0
"NTAFIN0003-53623",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1.4,0,0,0,13.4,9.5,0
"NTAFIN0003-58017",0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,4.7,0,0,0,14.2,6,0
"NTAFIN0003-58788",0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,6.4,0,0,0,12.6,13.9,0.2
"NTAFIN0004-53624",0,0,0.6,0,0,0.5,7.5,0,0,0,2.7,0,0,0,37,0,0,0,0,35.6,0
"NTAFIN0004-58010",0,0,0.6,0,0,0.2,0.4,0,0,0,1.6,0,0,0,36.1,0,0,0,10.4,0.2,0
"NTAFIN0004-58789",0,0,0.4,0,0,0.5,0,0,0,0,1.5,0,0,0,39.2,0,0,0,8.1,0.2,0.2
"NTAFIN0005-53625",0,0,6.5,0,0,0,0.8,0,0,0,0,0,0,3.1,5.7,0,0,0.1,0.5,28,0.2
"NTAFIN0005-58011",0,0,0.3,0,0,0,0.1,0,0,0,0,0,0,2.4,9.1,0,0,0,4,3,0
"NTAFIN0005-58736",0,0,0.3,0,0,0,0.1,0,0,0,0.1,0,0,2.8,10.8,0,0,0,3.8,2.2,0
"NTAFIN0006-53626",0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.7,0,0,0,0,1,0
"NTAFIN0006-58012",0,0,0.7,0,0,0,3.7,0,0,0,1.8,0,0,0.1,1,0,0,0,0.1,5.3,0
"NTAFIN0006-58737",0,0,0.3,0,0,0,11,0,0,0,3,0,0,0.1,2.6,0,0,0,0.4,10.3,0
"NTAFIN0007-53627",0,0,1.3,0,0,0,2.5,0,0,0,0,0,0,0,0.8,0,0,0,0,4.8,0
"NTAFIN0007-58013",0,0,1.6,0,0,0,2.7,0,0,0,0,0,0,0,0.6,0,0,0,0,12,0
"NTAFIN0007-58715",0,0,11.5,0,0,0,6.3,0,0,0,0,0,0,0,2.6,0,0,0,0.6,14.5,0
"NTAFIN0008-53628",0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,1.2,0,0,0,0,4.3,0
"NTAFIN0008-58014",0,0,0.1,0,0,0,0.6,0,0,0,0,0,0,0,3.1,0,0,0,0,42.4,0.1
"NTAFIN0008-58790",0,0,0,0,0,0,0.5,0,0,0,40.8,0,0,0,3.8,0,0,0,0,1.8,0
"NTAFIN0009-53629",0,0,0.2,0,0,0,0.9,0,0,0,1.4,0,0,0,10.2,0,0,0,1,2.3,0
"NTAFIN0009-58015",0,0,0.4,0,0,0,3.3,0,0,0,5.6,0,0,0,15.6,0.4,0,0,2.5,3.5,0.4
"NTAFIN0009-58738",0,0,0.3,0,0,0,1.3,0,0,0,9.5,0,0,0,16.8,0.3,0,0.2,4.5,5.4,0.1
"NTAFIN0010-53630",0,0,0.1,0,0,0,2,0,0,0,0.7,0,0,0,2.5,0,0,0,0,5,0
"NTAFIN0010-58016",0,0,2.1,0,0,0,13.5,0,0,0,6.4,0,0,0,4.7,0,0,0,0,4.2,0.6
"NTAFIN0010-58786",0,0,0.4,0,0,0,3.2,0,0,0,13.7,0,0,0,6.6,0,0,0,0.3,5.4,0
"NTAFIN0011-53631",0,0,1.8,0,0,0,6.2,0,0,0,18.2,0,0,0,13.6,0,0,0,1,32.5,0
"NTAFIN0011-58019",0,0,0.2,0,0,0,3.6,0,0,0,12.4,0,0,0,16.7,0,0,0,1.9,4.2,0.1
"NTAFIN0011-58739",0,0,0,0,0,0,1.4,0,0,0,7.3,0,0,0,19,0,0,0,0.9,5.7,0
"NTAFIN0012-53632",0,0,6.3,0,0,0,1.3,0,0,0,0,0,0,5,0,0,0,0,0,36,0
"NTAFIN0013-53633",0,0,2.2,0,0,0,1.6,0,0,0,0,0,0,0.1,7.9,0,0,0,24.1,6.8,0.5
"NTAFIN0014-53634",0,0,0.9,0,0.1,0,0.6,0,0,0,25.9,0,0,0,1.7,0,0,0,6.7,11.2,0
"NTAFIN0015-53635",0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.1,0,0,0,31.1,12.6,0
"NTAFIN0016-53636",0,0,4,0,0,0,0.4,0,0,0,0,0,0,0,0.1,0,0,0,0,25.6,0
"NTAFIN0017-53637",0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,12.2,23.3,0
"NTAFIN0018-53638",0,0,5.3,0,0,0,0.2,0,0,0,0,0,0,0,19.8,0,0,0,0.1,9.7,0
"NTAFIN0019-53639",0,0,1.8,0,0.1,0,1,0,0,0,0,0,0,0,2.5,0,0,0,11.2,43.1,0
"NTAFIN0020-53640",0,0,0.1,0,0,0,1.9,0,0,0,16.7,0,0,0,0.1,0,0,0,7.4,28.6,0
"NTAFIN0021-53641",0,0,4.3,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0,7.6,0
"NTAFIN0022-53642",0,0,0.2,0,0,0,1.9,0,0,0,0,0,0,0,16.9,0,0,0,0,8.8,0
"NTAFIN0023-53643",0,0,0.8,0,0.3,0,0,0,0,0,25.3,0,0,0,5.1,0,0,10.1,0,3.7,0
"NTAFIN0024-53644",0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,12.9,1.4,0
"NTAFIN0025-53645",0,0,1.8,0,0,0,0.7,0,0,0,0,0,0,1.5,12.4,0,0,0,0,20.4,0
"NTAFIN0026-53646",0,0,1.6,0,0,0,6.7,0,0,0,0,0,0,0,19.4,0,0,0,0.2,26.7,0
"NTAFIN0027-53647",0,0,0.1,0,0,0,3.8,0,0,0,0,0,0,0,0.6,0,0,0,0,40.3,0
"NTAFIN0028-53746",0,0,7.5,0,0,0,0.7,0,0,0,0,0,0,0.3,0,0,0,0,0,6.3,0
"NTAFIN0029-53747",0,0,2.5,0,0,0,0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,19.8,0
"NTAFIN0030-53748",0,0,0.6,0,0,0,0.6,0,0,0,0,0,0,3.7,43.3,0,0,0,0,7.6,0
"NTAFIN0031-53749",0,0,3.9,0,0,0,1.2,0,0,0,0,0,0,0.1,10.4,0,0,0,0,3.2,0
"NTAFIN0032-53750",0,0,0.2,0,0,0,0.5,0,0,0,5,0,0,0,23.8,0,0,0,0,21.6,0
"NTAFIN0033-53751",0,0,0.5,0,0,0,3.6,0,0,0,2.9,0,0,0,13.9,0,0,0,2.7,21.2,0
"NTAGFU0001-53648",0,0,0.3,0,0,0,3.1,0,0,0,0,0,0,0,9.6,0,0,5.7,0.9,40.9,0
"NTAGFU0002-53649",0,0,0,0,0,0,0.3,0,0,0,32.3,0,0,1.5,1.1,0,0,9.4,0,6.6,1.4
"NTAGFU0003-53650",0,0,0,0,0,0,2.8,0,0,0,6.3,0,0,0,0.5,0,0,24.7,0,18.6,0
"NTAGFU0004-53651",0,0,0,0,0,0,1.5,0,0,0,24.3,0,0,0.3,2.7,0,0,0,0.4,2.1,0
"NTAGFU0005-53652",0,0,0,0,0,0,1,0,0,0,32.6,0,0,0.5,18.7,0,0,0,14.1,7.9,0.1
"NTAGFU0006-53653",0,0,0,0,0,0,7.1,0,0,0,13,0,0,0,2.7,0,0,0,6.5,56.1,0.1
"NTAGFU0007-53654",0,0,0,0,0,0,0.2,0,0,0,81.2,0,0,0.4,8.9,0,0,0,0,0.6,0
"NTAGFU0008-53655",0,0,0.1,0,0,0,3,0,0,0,17.5,0,0,5.5,0.1,0,0,1.9,0,10.6,0
"NTAGFU0009-53656",0,0,0,0,0,0,0.1,0,0,0,22.7,0,0,0,8.9,0,0,0.1,13,13.1,0.1
