"","site_unique","time","diff","bs","pv","npv","ue","npixels"
"73","NSAMUL0001-58549","2018-04-13",-1,37,18,44,9,121
"74","NSAMUL0002-58559","2018-04-13",-1,36,18,42,9,121
"75","NSAMUL0003-58550","2018-04-13",-2,39,21,42,8,121
"76","NSAMUL0004-58560","2018-04-13",-2,35,11,53,11,121
"77","NSANAN0001-58583","2018-05-17",1,0,65,34,27,121
"78","NSANAN0002-58561","2018-05-17",1,0,49,49,22,121
"79","NSANET0001-58584","2018-05-18",0,7,51,44,23,121
"80","NSANSS0001-58579","2018-05-09",0,3,59,36.5,20,242
"81","NSANSS0002-58562","2018-05-09",0,6,56,36,21.5,242
"82","NSTNSS0001-57641","2015-11-18",0,13,44,43,16,121
"83","NSTSYB0001-58122","2015-11-19",8,0,68,29,24,121
"84","NSTSYB0002-58008","2015-11-19",7,0,73,25,25,121
"85","NSTSYB0003-58414","2015-11-18",4,2,59,37,22,121
"86","NSTSYB0004-58493","2015-11-26",11,9.5,61,28,16,121
"87","NSTSYB0005-58501","2015-11-26",9,13,56,28,28,121
"88","NSTSYB0006-58502","2015-11-18",-1,5,54,38,21,121
"89","NSTSYB0007-58496","2015-11-18",-2,2,50,45,19,121
"90","NSTSYB0008-58503","2015-11-18",-3,2,44,53,17,121
"91","NSTSYB0009-57649","2015-12-04",14,6,58,34,23,121
"92","NTAARP0001-58422","2016-05-30",-3,4,52,43,18,121
"93","NTAARP0002-58423","2016-05-30",-3,7,41,51,14,121
"94","NTAARP0003-58424","2016-05-30",-4,18,30,50,14,121
"95","NTAARP0004-58918","2021-06-06",0,8,45,48,16,121
"96","NTAARP0004-58932","2018-02-22",-10,NA,NA,NA,NA,0
"97","NTAARP0005-58919","2021-06-06",2,1,61,37,18,121
"98","NTAARP0005-58933","2018-03-18",-5,NA,NA,NA,NA,0
"99","NTABRT0001-53616","2012-04-03",15,25.5,20,53,12.5,22
"100","NTABRT0001-58861","2020-07-30",-2,37,15,46,10,121
"101","NTABRT0002-53617","2012-04-03",13,25,19,56,15,22
"102","NTABRT0002-58862","2020-07-30",-1,40,13,47,11,121
"103","NTABRT0003-53618","2012-04-03",12,29,16,57,14,121
"104","NTABRT0003-58872","2020-07-30",-2,34,14,52,11,121
"105","NTABRT0004-53619","2012-04-03",11,25,23,51,15,110
"106","NTABRT0004-58873","2020-08-07",-1,33,17,50,12,121
"107","NTABRT0005-53620","2012-03-27",3,34,23,42,10,121
"108","NTABRT0005-58863","2020-07-31",-2,58,18,24,8,121
"109","NTABRT0006-53621","2012-04-03",10,25,24,51,15,22
"110","NTABRT0006-58864","2020-08-07",-1,39,13,47,11,121
"111","NTABRT0007-58865","2020-08-07",0,50,12,37,9,121
"112","NTABRT0008-58866","2020-08-07",-2,51,8,40,11,121
"113","NTADAC0001-53518","2013-05-29",1,5,43,52,18,121
"114","NTADAC0002-58039","2016-05-06",0,5,58,35,17,121
"115","NTADMR0001-58868","2020-07-31",-3,40,12,46,9,121
"116","NTADMR0002-58869","2020-08-07",3,63,4,30,8,121
"117","NTAFIN0001-53519","2011-10-19",-1,32,0,67,10,121
"118","NTAFIN0001-58009","2016-02-27",-6,NA,NA,NA,NA,0
"119","NTAFIN0001-58735","2019-05-26",0,NA,NA,NA,NA,0
"120","NTAFIN0002-53622","2011-10-03",10,13,11,75,11,121
"121","NTAFIN0002-58018","2016-03-05",0,NA,NA,NA,NA,0
"122","NTAFIN0002-58787","2019-05-10",-18,NA,NA,NA,NA,0
"123","NTAFIN0003-53623","2011-09-17",-7,49,10,37,7,121
"124","NTAFIN0003-58017","2016-02-27",-6,NA,NA,NA,NA,0
"125","NTAFIN0003-58788","2019-05-26",1,NA,NA,NA,NA,0
"126","NTAFIN0004-53624","2011-10-18",12,33,8,57,15,121
"127","NTAFIN0004-58010","2016-03-05",3,NA,NA,NA,NA,0
"128","NTAFIN0004-58789","2019-05-26",0,NA,NA,NA,NA,0
"129","NTAFIN0005-53625","2011-10-18",13,42,2,55,11,121
"130","NTAFIN0005-58011","2016-03-05",-1,NA,NA,NA,NA,0
"131","NTAFIN0005-58736","2019-05-25",0,NA,NA,NA,NA,0
"132","NTAFIN0006-53626","2011-10-18",11,66,10,21,8,121
"133","NTAFIN0006-58012","2016-03-05",-1,NA,NA,NA,NA,0
"134","NTAFIN0006-58737","2019-05-26",0,NA,NA,NA,NA,0
"135","NTAFIN0007-53627","2011-10-18",6,68,5,25,9,121
"136","NTAFIN0007-58013","2016-03-05",3,66,13,19,7,22
"137","NTAFIN0007-58715","2019-05-10",-18,NA,NA,NA,NA,0
"138","NTAFIN0008-53628","2011-10-18",5,70,5,24,9,121
"139","NTAFIN0008-58014","2016-03-05",2,NA,NA,NA,NA,0
"140","NTAFIN0008-58790","2019-05-10",-20,NA,NA,NA,NA,0
"141","NTAFIN0009-53629","2011-10-18",1,66,9,22,9,121
"142","NTAFIN0009-58015","2016-03-05",-1,NA,NA,NA,NA,0
"143","NTAFIN0009-58738","2019-05-26",-1,NA,NA,NA,NA,0
"144","NTAFIN0010-53630","2011-10-18",0,76,10,12,8,121
"145","NTAFIN0010-58016","2016-03-05",-2,NA,NA,NA,NA,0
"146","NTAFIN0010-58786","2019-05-26",-1,NA,NA,NA,NA,0
"147","NTAFIN0011-53631","2011-10-19",-1,38,6,54,12,121
"148","NTAFIN0011-58019","2016-03-05",-1,NA,NA,NA,NA,0
"149","NTAFIN0011-58739","2019-05-26",-1,NA,NA,NA,NA,0
"150","NTAFIN0012-53632","2011-11-11",7,38,7,55,11,121
"151","NTAFIN0013-53633","2011-11-12",7,41,18,38,10,121
"152","NTAFIN0014-53634","2011-11-12",5,42,10,48,11,121
"153","NTAFIN0015-53635","2011-11-11",3,34,29,35,10,121
"154","NTAFIN0016-53636","2011-11-11",2,59,12,27,8,121
"155","NTAFIN0017-53637","2011-11-27",-2,45,21,30,9,121
"156","NTAFIN0018-53638","2011-12-13",13,47,12,40,11,121
"157","NTAFIN0019-53639","2011-11-27",-4,38,18,42,11,121
"158","NTAFIN0020-53640","2011-12-06",-1,34,9,55,11,121
"159","NTAFIN0021-53641","2011-12-22",14,64,10,24,7,121
"160","NTAFIN0022-53642","2011-12-06",-3,44,10,43,10,121
"161","NTAFIN0023-53643","2011-12-06",-4,45,14,39,10,121
"162","NTAFIN0024-53644","2012-02-24",11,37,18,44,10,121
"163","NTAFIN0025-53645","2012-02-08",-6,46,6,45,9,121
"164","NTAFIN0026-53646","2012-03-27",13,20,29,51,14,121
"165","NTAFIN0027-53647","2012-03-27",1,35,22,42,11,121
"166","NTAFIN0028-53746","2012-09-19",-3,64,7,28,7,121
"167","NTAFIN0029-53747","2012-09-19",-4,52,3,45,8,121
"168","NTAFIN0030-53748","2012-10-21",-3,38,6,55,11,121
"169","NTAFIN0031-53749","2012-10-21",-4,39,1,60,7,121
"170","NTAFIN0032-53750","2012-10-21",-11,39,7,51,11,121
"171","NTAFIN0033-53751","2012-10-21",-16,44,9,44,9,121
"172","NTAGFU0001-53648","2012-04-05",-7,13,27,59,13,121
"173","NTAGFU0002-53649","2012-04-05",-8,19,14,64,11,121
"174","NTAGFU0003-53650","2012-04-21",7,21,29,47,14,121
"175","NTAGFU0004-53651","2012-05-07",22,40,21,36,10,121
"176","NTAGFU0005-53652","2012-04-21",5,12,37,49,14,121
"177","NTAGFU0006-53653","2012-04-05",-13,8,46,45,13,121
"178","NTAGFU0007-53654","2012-04-21",2,23,16,62,12,121
"179","NTAGFU0008-53655","2012-04-21",1,25,5,66,11,121
"180","NTAGFU0009-53656","2012-04-21",0,18,29,53,10,121
"181","NTAGFU0010-53657","2012-05-07",-2,23,21,52,11,121
"182","NTAGFU0011-53658","2012-05-23",13,6,25,68,13,121
"183","NTAGFU0012-53659","2012-05-07",-4,13,27,58,12,121
"184","NTAGFU0013-53660","2012-05-23",11,6,29,64,13,121
"185","NTAGFU0014-53661","2012-05-07",-7,18,19,62,9,121
"186","NTAGFU0015-53662","2012-05-07",-7,12,21,68,12,121
"187","NTAGFU0016-53663","2012-05-23",7,27,20,51,15,121
"188","NTAGFU0017-53664","2012-05-23",6,0,44,55,15,121
"189","NTAGFU0018-53665","2012-05-23",5,7,27,66,15,121
"190","NTAGFU0019-53666","2012-05-23",5,27,23,49,13,121
"191","NTAGFU0020-53667","2012-06-15",10,5,42,53,15,121
"192","NTAGFU0021-53668","2012-06-15",9,12,28,61,13,121
"193","NTAGFU0022-53669","2012-06-15",8,14,14,71,13,121
"194","NTAGFU0023-53670","2012-06-15",6,6,42,50,14,121
"195","NTAGFU0024-53671","2012-06-15",5,14,24,61,13,121
"196","NTAGFU0025-53672","2012-06-15",5,7,34,57,16,121
"197","NTAGFU0026-53673","2012-05-14",-29,7,38,54,13,121
"198","NTAGFU0027-53674","2012-06-15",2,14,26,59,13,121
"199","NTAGFU0028-53675","2012-06-15",1,17,28,52,11,121
"200","NTAGFU0029-53676","2012-06-15",0,11,18,68,11,121
"201","NTAGFU0030-53677","2012-06-22",-13,10,30,58,16,121
"202","NTAGFU0031-53678","2012-07-24",18,8,26,64,14,121
"203","NTAGFU0032-53679","2012-07-24",17,22,16,60,9,121
"204","NTAGFU0033-53680","2012-06-22",-16,4,42,53,21,121
"205","NTAGFU0034-53681","2012-07-24",15,16,23,57,10,121
"206","NTAGFU0035-53682","2012-07-24",14,17,21,62,11,121
"207","NTAGFU0036-53683","2012-07-15",4,11,24,63,13,121
"208","NTAGFU0037-53684","2012-07-08",-4,6,26,66,12,121
"209","NTAGFU0038-53685","2012-07-08",-4,5,26,68,14,121
"210","NTAGFU0039-53686","2012-07-15",1,6,24,69,12,121
"211","NTAGFU0040-53687","2012-07-15",0,2,51,46,15,121
"212","NTAGFU0041-58425","2016-04-29",-3,9,49,41,13,121
"213","NTAMAC0001-53574","2014-09-17",-19,59,20,20,8,121
"214","NTAMAC0001-58791","2019-05-10",-19,NA,NA,NA,NA,0
"215","NTAMAC0002-53575","2014-10-26",19,35,15,46,8,121
"216","NTAMAC0002-58734","2019-05-10",-19,NA,NA,NA,NA,0
"217","NTAMAC0003-53576","2014-09-17",-19,52,8,39,7,121
"218","NTAMAC0003-58740","2019-05-10",-19,NA,NA,NA,NA,0
"219","NTAMGD0001-53520","2014-03-11",-2,24,33,42,11,121
"220","NTAMGD0002-53466","2014-03-11",-1,28,31,40,9,121
"221","NTAMGD0003-58431","2016-04-22",-6,20,34,45,12,121
"222","NTAMGD0004-58432","2016-04-22",-7,26,30,43,9,121
"223","NTAMGD0005-58495","2016-04-22",-7,22,41,35,11,121
"224","NTAPCK0001-58037","2016-05-06",2,7,57,33,14,121
"225","NTAPCK0002-58038","2016-05-06",1,4,60,34,17,121
"226","NTAPCK0004-58920","2021-06-05",2,6,48,45,15,121
"227","NTAPCK0004-58934","2018-03-25",6,NA,NA,NA,NA,0
"228","NTAPCK0005-58921","2021-06-05",2,28,22,49,14,121
"229","NTAPCK0006-58922","2021-06-06",0,7,37,56,14,121
"230","NTAPCK0006-58935","2018-04-10",1,NA,NA,NA,NA,0
"231","NTAPCK0007-58924","2021-06-06",-1,4,44,50,15,121
"232","NTAPCK0007-58936","2018-03-01",-4,NA,NA,NA,NA,0
"233","NTASSD0008-57074","2012-09-21",2,78,17,4,5,121
"234","NTASSD0011-53559","2013-03-07",-12,57,0,43,9,121
"235","NTASSD0012-53560","2013-03-07",-13,62,0,38,6,121
"236","NTASSD0013-53563","2013-03-07",-13,56,0,44,8,121
"237","NTASSD0014-53564","2013-03-23",0,84,0,15,4,121
"238","NTASSD0015-53565","2013-03-23",-1,64,10,25,6,121
"239","NTASSD0016-53566","2013-03-23",1,59,0,41,14,121
"240","NTASSD0017-53561","2013-03-07",-14,55,0,44,8,121
"241","NTASSD0018-53562","2013-03-23",1,61,0,38,7,121
"242","NTASSD0019-53567","2013-03-23",-2,81,9,8,5,121
"243","NTASTU0001-58428","2016-04-21",-9,14,34,49,10,121
"244","NTASTU0002-58429","2016-04-29",-2,12,46,41,10,121
"245","NTASTU0003-58430","2016-04-29",-2,14,52,32,12,121
"246","NTASTU0004-58426","2016-04-29",-4,9,42,45,10,121
"247","NTASTU0005-58427","2016-04-29",-4,12,39,43,11,121
"248","NTATAN0001-58874","2020-08-07",2,34,18,46,11,121
"249","NTATAN0002-58870","2020-08-07",2,35,20,43,11,121
"250","NTATAN0003-58871","2020-08-07",1,54,16,28,8,121
"251","NTATAN0004-58875","2020-08-07",1,78,18,3,6,121
"252","NTTDAB0001-53580","2014-03-14",-3,2,62,34,17,121
"253","NTTDAC0001-53755","2014-03-29",11,3,53,43,17,121
"254","NTTDMR0001-53582","2014-03-16",3,11,45,43,16,121
"255","NTTDMR0002-53581","2014-03-16",2,24,43,31,10,121
"256","NTTDMR0003-53583","2014-03-16",2,17,49,33,11,121
"257","NTTMGD0001-53521","2014-03-15",0,9,51,40,12,121
"258","NTTPCK0001-53584","2014-03-22",3,17,54,29,18,121
"259","NTTSTU0001-53585","2014-03-15",0,4,53,42,21,121
"260","QDABBN0001-58730","2019-04-09",2,17,32,45,13,121
"261","QDABBN0002-58741","2019-04-09",1,4,47,48,16,121
"262","QDABBS0001-58708","2019-03-31",-4,10,13,75,16,121
"263","QDABBS0002-58703","2019-03-31",-4,29,8,62,16,121
"264","QDABBS0003-58709","2019-03-31",-5,5,37,58,17,121
"265","QDABBS0004-58726","2019-03-31",-5,12,27,62,16,121
"266","QDABBS0005-58747","2019-03-31",-6,5,37,57,17,121
"267","QDABBS0006-58727","2019-04-10",0,15,37,47,18,121
"268","QDABBS0007-58711","2019-04-03",-7,18,34,47,14,121
"269","QDABBS0008-58728","2019-04-08",-3,76,7,17,5,121
"270","QDABBS0009-58729","2019-04-11",-2,6,51,42,18,121
"271","QDABBS0010-58963","2021-03-31",3,2,54,42,25,121
"272","QDACHC0001-53592","2013-04-21",-1,59,11,28,6,121
"273","QDACHC0002-53593","2013-04-29",5,49,17,34,8,121
"274","QDACHC0003-53467","2013-04-29",6,31,18,51,8,121
"275","QDACHC0004-53468","2013-05-29",10,21,20,58,11,121
"276","QDACHC0005-53522","2013-05-29",10,50,3,46,7,121
"277","QDACHC0006-53469","2013-05-14",-6,18,7,73,12,121
"278","QDACHC0007-53517","2013-05-29",9,53,3,43,6,121
"279","QDACYP0001-58585","2018-06-22",15,12,51,32,13,121
"280","QDACYP0002-58586","2018-06-06",-1,17,52,30,12,121
"281","QDACYP0003-58587","2018-06-06",-2,13,64,26,14,121
"282","QDACYP0004-58588","2018-06-12",3,12,45,43,11,121
"283","QDACYP0005-58589","2018-06-12",2,10,49,40,12,121
"284","QDACYP0006-58591","2018-06-12",1,7,54,37,13,121
"285","QDACYP0007-58592","2018-06-12",1,10,49,41,13,121
"286","QDACYP0008-58593","2018-06-12",0,8,55,35,14,121
"287","QDACYP0009-58594","2018-06-13",1,2,54,43,15,121
"288","QDACYP0010-58595","2018-06-12",-2,8,47,43,23,121
"289","QDACYP0011-58596","2018-05-27",-18,12,64,21,12,121
"290","QDACYP0012-58597","2018-06-12",-3,2,87,8,20,121
"291","QDACYP0013-58598","2018-06-12",-22,4,66,28,16,121
"292","QDACYP0014-58599","2018-07-14",10,7,35,54,25,121
"293","QDACYP0015-58600","2018-07-30",25,11,33,55,12,121
"294","QDACYP0016-58601","2018-07-30",24,15,36,46,12,121
"295","QDACYP0017-58602","2018-07-30",23,8,55,35,17,121
"296","QDACYP0018-58603","2018-07-21",13,54,32,9,6,121
"297","QDACYP0019-58604","2018-07-14",5,7,48,43,11,121
"298","QDACYP0020-58615","2018-07-21",11,2,57,37,16,121
"299","QDACYP0021-58606","2018-07-21",11,4,69,24,17,121
"300","QDACYP0022-58607","2018-07-30",19,9,46,41,14,121
"301","QDACYP0023-58608","2018-07-14",2,3,64,31,18,121
"302","QDACYP0024-58609","2018-07-14",1,4,66,28,20,121
"303","QDADEU0001-58888","2021-04-28",-2,8,39,51,14,121
"304","QDADEU0002-58962","2021-04-28",-3,13,35,50,12,121
"305","QDADEU0003-58898","2021-04-28",-3,4,57,37,15,121
"306","QDAEIU0001-53470","2013-06-08",-4,10,16,71,25,121
"307","QDAEIU0002-53523","2013-06-16",4,23,23,53,19,121
"308","QDAEIU0003-53471","2013-06-16",3,8,36,56,15,121
"309","QDAEIU0004-53524","2013-06-16",3,8,38,52,15,121
"310","QDAEIU0005-53472","2013-09-28",-2,21,19,59,8,121
"311","QDAEIU0006-53473","2013-09-27",-4,4,43,51,15,121
"312","QDAEIU0007-53474","2013-09-27",-4,7,41,50,15,121
"313","QDAEIU0008-58882","2021-05-05",0,18,42,39,11,121
"314","QDAEIU0009-58881","2021-05-05",0,11,47,39,11,121
"315","QDAEIU0010-58883","2021-05-30",-6,9,44,44,13,121
"316","QDAGUP0001-53526","2013-06-16",0,13,21,67,13,121
"317","QDAGUP0002-53475","2013-06-16",1,9,41,48,13,121
"318","QDAGUP0003-53527","2013-06-16",-1,38,18,44,8,121
"319","QDAGUP0004-53476","2013-07-25",-1,34,20,44,9,121
"320","QDAGUP0005-53528","2013-06-23",5,15,30,54,11,121
"321","QDAGUP0006-53477","2013-06-23",4,22,31,45,10,121
