"","site_location_name","pit_marker_easting","pit_marker_northing","pit_marker_mga_zones"
"56","QDAMGD0017",737203,7552649,54
"57","NTAGFU0001",717950,7908352,53
"58","NTAGFU0002",716140,7906977,53
"59","NTAGFU0003",724122,7938300,53
"60","NTAGFU0004",724031,7939443,53
"61","NTAGFU0005",723749,7936220,53
"62","NTAGFU0006",694687,7922649,53
"63","NTAGFU0014",705574.408,8036214.402,53
"64","NTAFIN0020",338271,7270809,53
"65","NTAGFU0007",692488,7922868,53
"66","NTAGFU0008",696604,7921811,53
"67","NTAGFU0012",713898,8020202,53
"68","NTAGFU0019",737812,8094983,53
"69","NTAGFU0018",732118,8088987,53
"70","NTAGFU0031",433802,8438268,53
"71","NTAGFU0015",706022.906,8037021.051,53
"72","SAAEYB0007",670794.6,6095342.7,53
"73","NTAGFU0013",713116,8020181,53
"74","NTAGFU0024",595167,8139479,53
"75","NTAGFU0025",591115,8139580,53
"76","NTAGFU0027",549360,8266487,53
"77","NTAGFU0028",549280,8272022,53
"78","NTAGFU0029",543861,8282114,53
"79","NTAGFU0030",432850,8437266,53
"80","NTAGFU0033",430450,8432606,53
"81","NTAGFU0026",543487,8252136,53
"82","NTAGFU0036",377572,8377359,53
"83","NTAGFU0038",380893,8375672,53
"84","NTAGFU0039",379649,8377123,53
"90","NTAGFU0040",375611,8377445,53
"91","NTASSD0018",552679,7220793,53
"92","NTAMGD0002",743411,7784206,53
"93","NTASSD0017",525974,7182249,53
"94","NTASSD0019",564614,7224440,53
"95","NTTPCK0001",730922,8576160,52
"96","QDAGUP0001",784863,7774150,54
"97","QDAGUP0002",788996,7782727,54
"98","QDAGUP0005",653271,7788802,54
"99","QDAGUP0007",585424,7778982,54
"100","QDAEIU0002",208827,7835782,55
"101","NTTDMR0002",355543,8001254,53
"102","QDAGUP0016",473388,7982267,54
"103","QDAMGD0008",201596,7381904,55
"104","QDAGUP0008",606987,7810243,54
"105","QDAEIU0005",806347,7957021,54
"106","QDAGUP0004",654702,7786420,54
"107","QDAGUP0019",507921,8051780,54
"108","QDAGUP0023",504070,8117851,54
"109","QDAGUP0024",483802,8069140,54
"110","QDAMGD0002",216772.199,7397393.863,55
"111","QDAMGD0005",227745.654,7396685.482,55
"112","QDAMGD0001",216740,7396082,55
"113","QDAGUP0018",511175,8047365,54
"114","QDAMGD0022",529568,7526350,54
"115","QDAMGD0009",737519,7333362,54
"116","QDAMGD0010",739299,7333714,54
"117","QDAMGD0014",708324,7509845,54
"118","QDAGUP0030",729983,8135994,54
"119","QDAMGD0018",741082,7552234,54
"120","QDAMGD0021",530883,7524990,54
"121","QDAMGD0024",500378,7384907,54
"122","QDAMGD0025",800022,7748496,54
"123","QDAMGD0003",224678,7395117,55
"124","QDAMGD0027",204478,7778314,54
"126","SATSTP0006",288415,6731247,54
"127","QDAMGD0026",798588,7742081,54
"128","QDAMGD0020",626193,7559615,54
"130","QDASSD0005",239148,7377365,54
"132","SAASTP0003",507285,7093980,53
"135","QDASSD0009",209049,7346440,54
"136","SAAMDD0010",362218,6201284,54
"138","SAAMDD0011",364745.6,6201368.5,54
"140","SAASTP0015",665236,6916545,53
"141","SAASTP0020",642858,6853449,53
"142","SAASTP0024",497432,6903450,53
"143","SAASTP0029",584634,6892850,53
"144","SASMDD0010",460756,6237322,54
"145","SAASTP0025",497179,6907259,53
"147","SATFLB0005",268408.601,6532871.277,54
"148","WAACOO0022",272111,6657200,51
"149","WAAPIL0001",631708,7500116,50
"150","SAAGAW0001",705315,6348531,53
"151","SATKAN0001",795429,6054600,53
"153","SATFLB0016",340407.7,6641982.033,54
"155","WAGCOO0001",273633,6630527,51
"156","SATFLB0021",329014.992,6634205.243,54
"158","SATFLB0017",343756,6643326,54
"160","QDACYP0016",656103.481,8728761.631,54
"161","SATSTP0004",290428,6702345,54
"163","SATFLB0012",290650.504,6137894.765,54
"165","SATFLB0019",329942,6655669,54
"167","SATFLB0009",213270.675,6421213.873,54
"169","WAACOO0010",245667,6541632,51
"170","WAACOO0003",751755,6523045,50
"171","WAACOO0004",751634,6523166,50
"172","WAACOO0012",245913.9,6541022.5,51
"173","WAACOO0026",276035.6,6620122.4,51
"174","WAAHAM0002",427975,6471794,52
"175","WAACOO0008",764905,6499464,50
"177","SATEYB0002",228706,6290679,54
"178","WAANUL0002",771165,6489357,51
"179","WAAHAM0006",245824,6432085,52
"180","WAACOO0023",272942,6657494,51
"181","QDACHC0002",720498,7330179,54
"182","WAACOO0027",275421.5,6623311.3,51
"183","WAALSD0003",261068,7203170,51
"184","SATFLB0003",317104.999,6172162.842,54
"186","QDAGUP0026",483817,8068389,54
"188","VCAMDD0001",555728,6128894,54
"189","VCAMDD0003",566567,6127003,54
"190","WAAPIL0020",512465,7609840,50
"191","NSABHC0019",551626.05,6402360.71,54
"192","NTAFIN0027",360807,7363289,53
"193","WAANUL0006",377723,6677806,52
"194","WAAPIL0033",725382,7431144,50
"195","NSABHC0022",641066,6606483,54
"196","WAACOO0001",739496,6523368,50
"197","WAAPIL0003",505898,7618067,50
"198","WAAPIL0014",625874,7496263,50
"199","NSABHC0016",505820,6477968,54
"200","NSAMDD0029",249559,6530657,55
"201","NTAFIN0025",366238,7254516,53
"202","SAAGAW0002",709823,6348777,53
"203","WAAPIL0019",707359,7532361,50
"208","WAAPIL0007",497419,7602900,50
"209","WAAPIL0032",729120,7434293,50
"210","WAANUL0003",724008,6710139,51
"213","QDACHC0001",729498,7332390,54
"214","NTASSD0016",551213,7222758,53
"215","SAAGVD0003",640524,6755503,52
"217","WAAPIL0010",601296,7582782,50
"218","WAAPIL0008",572914,7604321,50
"219","QDACYP0020",660410.678,8790682.614,54
"220","NSAMDD0009",506188,6299872,54
"221","NSAMDD0022",384473,6323058,55
"222","NTAFIN0028",338858,7148812,53
"223","NTAGFU0011",719554,8020133,53
"224","NTAGFU0034",437552,8445315,53
"225","NTAGFU0035",437450,8446903,53
"226","NTAGFU0010",722546,8020036,53
"227","QDAMGD0011",735370,7334902,54
"228","NSABHC0018",599260,6431467.29,54
"229","NTAFIN0022",343335,7275007,53
"230","NTASSD0015",562183,7221180,53
"231","SAAEYB0001",717218,6184642,53
"232","WAAGES0004",274672.6,6956535.5,50
"233","QDAMII0001",418277,7842788,54
"234","SATFLB0013",278568.8,6244873.7,54
"236","WAAPIL0009",585277,7581021,50
"237","WAAPIL0011",603332,7578902,50
"238","NSABHC0023",608114,6531721,54
"239","QDAGUP0020",495752,8118937,54
"240","QDAMGD0013",710889,7508587,54
"241","WAACOO0029",272061,6630844,51
"242","WAAPIL0015",596159,7499423,50
"243","SATKAN0004",320905,6133401,54
"245","QDAGUP0010",587425,7797824,54
"246","WAACOO0028",275210,6624857,51
"247","NTAMGD0005",338962,8069381,53
"249","WAAPIL0016",630244,7486626,50
"251","NTAARP0004",281343.04,8596103.05,53
"253","WAAPIL0025",778255,7486345,50
"254","NTTMGD0001",332465,8088444,53
"255","QDACHC0005",507369,7376590,54
"256","QDACHC0006",513606,7371273,54
"258","NTAFIN0006",335381,7325157,53
"260","QDAEIU0001",207205,7837199,55
"261","WAAHAM0003",432687,6485038,52
"262","WAACOO0025",268825,6657157,51
"263","WAACOO0021",273813,6657572,51
"264","WAAVIB0004",403393,8250950,52
"265","WAASWA0004",377658,6528071,50
"266","QDAMGD0019",627090,7558890,54
"267","NTASTU0004",283987,8355867,53
"268","NTASTU0005",290098,8350956,53
"269","QDAGUP0006",646817,7792803,54
"270","SASMDD0014",472900,6233681,54
"271","WAACOO0017",243148.7,6548470.5,51
"272","QDAGUP0027",518786,8078869,54
"273","QDAGUP0011",586622,7794964,54
"274","NTASSD0008",656673,7147932,53
"275","WAAPIL0030",769325,7419290,50
"276","QDAMGD0012",280134,7253029,55
"277","NSABHC0001",541017.94,6471303.4719,54
"278","NSAMDD0012",524891,6319496,54
"279","NSTSYB0001",327094,6272498,56
"280","NTASSD0014",537363,7219725,53
"281","QDACHC0004",509382,7376994,54
"282","NTAPCK0005",265305.743,8609171.55,53
"283","NSABHC0026",620072,6483469,54
"284","NTAPCK0007",267088.6,8595888.8,53
"286","NSAMDD0008",506695,6300938,54
"288","NTAFIN0003",345247,7330291,53
"290","NSABHC0024",609249,6531394,54
"291","NSABHC0002",540928,6467571,54
"292","NSAMDD0001",643774,6216357,54
"293","NSABHC0007",572283,6470268,54
"294","NTASSD0012",511628,7179329,53
"295","NSAMDD0024",277555,6381451,55
"296","NSTSYB0006",244083,6310951,56
"297","NSTSYB0007",233757,6308547,56
"298","SAANUL0001",221808,6570553,53
"299","NSAMDD0010",527294,6303492,54
"300","NTAGFU0023",588437,8139741,53
"301","NTAGFU0037",380735,8377474,53
"302","NSAMDD0021",380431,6325713,55
"303","NSAMDD0023",279659,6380615,55
"304","QDAMGD0016",720118,7509253,54
"305","NTTSTU0001",315602,8160540,53
"306","QDAMGD0015",711623,7503402,54
"307","QDAGUP0025",483142,8069768,54
"308","QDAGUP0028",519010,8087797,54
"309","QDAGUP0009",600590,7805389,54
"310","QDAMGD0028",196305,7791511,54
"311","NTTDMR0003",358924,8001320,53
"312","SAASTP0019",645080,6855416,53
"314","WAACOO0005",766566,6500163,50
"315","SASMDD0012",477331,6231258,54
"317","WAACOO0007",766364,6499727,50
"318","NSABHC0008",550011,6472087,54
"320","TCATCH0006",471165.4,5353960.4,55
"321","QDACYP0022",657352.836,8807168.132,54
"322","SATFLB0004",268525,6531520,54
"324","WAAHAM0001",432570,6461129,52
"325","WAACOO0009",245332,6540813,51
"326","WAAPIL0034",215365,7420314,51
"327","QDACHC0003",720023,7331187,54
"328","WAAPIL0035",228595,7413576,51
"329","NSABHC0013",557162,6534343,54
"330","WAAPIL0024",714556,7513976,50
"331","NSABHC0021",581907.48,6445925.41,54
"332","WAAGES0005",270368.4,6952738.2,50
"333","NSANET0001",374453,6762900,56
"334","WAAPIL0005",505817,7614641,50
"335","WAASWA0002",397142,6421895,50
"336","NSTSYB0004",264365,6267644,56
"337","NSTSYB0005",251481,6273668,56
"338","NTAARP0003",224841,8504253,53
"339","NTAMGD0004",343364,8062267,53
"340","NTASTU0003",320785,8262797,53
"341","QDAMGD0007",203710.869,7380651.782,55
"342","WAAMUR0001",304789,6894085,51
"343","NTAARP0002",207154,8500913,53
"344","QDAMGD0006",198260,7379756,55
"345","NTAPCK0001",263032,8597721,53
"346","NTAPCK0002",260493,8581694,53
"347","WAACOO0032",243055,6590752,51
"348","WAAAVW0001",683799,6468749,50
"349","WAACOO0031",237266,6602154,51
"350","WAAESP0001",569261,6184703,50
"351","WAAGAS0002",242339,7411747,51
"352","WAAMAL0002",700709,6367321,50
"353","WAAMAL0003",701891,6360548,50
"354","WAAGVD0001",706159,6715977,51
"355","WAAJAF0002",524391,6171428,50
"356","WAAJAF0003",563203,6192874,50
"357","WAAAVW0002",680260,6475066,50
"358","QDAGUP0003",779881,7742041,54
"359","QDAGUP0015",471832,7981351,54
"360","SASMDD0017",473934,6242731,54
"362","NTAFIN0014",314574,7285764,53
"363","SAAEYB0024",598851,6263866.2,53
"364","WAAPIL0028",791906,7489596,50
"365","WAAPIL0021",512023,7610729,50
"366","SAANUL0003",715330,6514709,52
"367","WAACOO0016",243530.1,6544755.5,51
"369","SAAFLB0004",279219.717,6116468.073,54
"370","SAANUL0004",719048,6511436,52
"372","NTAFIN0004",335077,7324080,53
"375","NTAGFU0016",740357,8094605,53
"376","WAACOO0006",767964,6500845,50
"377","NSAMDD0017",367195,6273754,55
"378","NSABHC0020",547156.1,6430102.29,54
"379","NSAMDD0020",379730,6325145,55
"380","SAAFLB0030",212089,6679848,54
"383","NSAMDD0025",238927,6499741,55
"384","NSAMDD0006",700968,6273053,54
"385","NSAMDD0014",517985,6330177,54
"386","NSAMDD0019",378755,6326662,55
"387","NSAMDD0002",647643,6213973,54
"388","SATFLB0023",315352,6613199,54
"390","NTAFIN0015",319945,7287515,53
"391","NTASSD0013",514018,7177020,53
"392","NSAMDD0003",647879,6213770,54
"393","NSTSYB0003",273942,6287667,56
"394","NSTSYB0008",222938,6320345,56
"395","NTAGFU0041",273033,8364937,53
"396","NSTSYB0009",255400,6281419,56
"397","NSAMDD0007",515057,6306571,54
"398","NSAMDD0026",234524,6497494,55
"400","NTAFIN0011",330050,7326835,53
"402","NTAARP0001",204648,8499580,53
"403","WAALSD0001",270449,7222422,51
"404","NTADAC0002",211290,8590324,53
"405","WAACOO0024",273173,6658324,51
"406","NTAFIN0026",372754,7355479,53
"407","NTAGFU0020",602695,8150632,53
"408","QDAMGD0023",498629,7380394,54
"409","NSAMDD0028",232484,6512605,55
"410","NTAMGD0003",334134.74,8080141.01,53
"411","NTASSD0011",511565,7181833,53
"412","NTASTU0001",329961,8244042,53
"413","NTTDAB0001",788910,8454740,52
"414","NTAFIN0024",364602,7243512,53
"415","NTTDAC0001",694644,8546801,52
"417","NTAMAC0003",338073,7349381,53
"418","QDACHC0007",503066,7364056,54
"419","QDAGUP0014",477593,7983372,54
"420","QDAGUP0017",509136,8049492,54
"421","QDAGUP0021",499332,8120196,54
"422","QDAEIU0003",202743,7851366,55
"423","QDAMII0002",203003,7785232,54
"424","NSAMDD0027",233034,6513002,55
"425","SASMDD0004",475492.3,6238171,54
"427","SASMDD0003",461728,6238369,54
"431","SASMDD0018",460860,6237425,54
"432","SASRIV0002",479773,6233063,54
"433","WAACOO0019",239431.3,6544220.3,51
"434","WAACOO0011",246876,6539331,51
"435","SASMDD0009",471811,6231111,54
"437","WAAPIL0031",732047,7438512,50
"438","NSTNSS0001",241272,6335997,56
"439","NSTSYB0002",279697,6280356,56
"440","NTAFIN0019",290598,7304561,53
"441","NSAMDD0030",249118,6532159,55
"442","NTAGFU0017",729308,8079895,53
"443","NTAGFU0021",600522,8151690,53
"444","SAASTP0004",545222,7114476,53
"445","QDACYP0018",649289.819,8777845.128,54
"446","SAASTP0010",558034,7083574,53
"447","VCAAUA0008",522479,5915851,55
"448","QDACYP0017",656959.31,8723653.617,54
"449","SAASTP0013",530612,7060698,53
"451","NTAFIN0007",340841,7351404,53
"453","SAAEYB0025",533990.5,6164466.7,53
"455","VCAAUA0007",522769,5915321,55
"456","QDACYP0011",688530.03,8539316.654,54
"457","VCAAUA0009",526952,5916850,55
"458","NSACOP0001",363047,6393116,55
"459","WAACEK0001",222271,8178330,52
"460","SATFLB0027",288400,6115266,54
"462","WAACOO0018",244426.5,6545609.4,51
"463","NSACOP0002",374759,6391757,55
"464","SATKAN0002",289995.98,6094333.15,54
"466","SAAFLB0007",244506.9,6476042.2,54
"467","VCAAUA0011",514598,5892830,55
"468","SAAEYB0027",535918.1,6162374.7,53
"469","QDACYP0015",667359.196,8648710.466,54
"470","SAABHC0002",452987,6461297,54
"472","QDACYP0008",725798.038,8418267.232,54
"473","QDACYP0013",670659.56,8650601.88,54
"474","QDABBS0007",326091.96,6975872.53,56
"475","QDACYP0019",662975.688,8813748.291,54
"476","QDASEQ0003",487864.9,6970150.4,56
"477","QDABBS0004",576900,7258846.2,55
"478","VCAAUA0005",526614,5916992,55
"479","NTABRT0005",357024,7534296,53
"482","SATSTP0007",288463,6730643,54
"483","SATFLB0001",303904.319,6168236.275,54
"485","WAADAL0001",706653,8073450,51
"486","NSANSS0001",626254,6375643,55
"488","QDASSD0003",235898,7362104,54
"490","NSABHC0003",541073,6478467,54
"491","VCAAUA0010",531507,5920959,55
"493","SATSTP0005",291374,6739501,54
"494","SATSTP0003",292029,6706381,54
"497","QDASSD0013",216259,7421191,54
"500","QDASSD0008",208610,7347890,54
"502","NSAMUL0003",311075,6769850,55
"503","WAAVIB0001",432240,8277677,52
"505","QDASSD0007",204412,7356075,54
"507","VCAAUA0002",525036,5914577,55
"509","SATFLB0028",257988,6284346,54
"510","SATFLB0010",222322.337,6363827.755,54
"512","VCAAUA0001",525635,5915192,55
"514","QDASSD0014",210102,7434300,54
"517","SATFLB0008",213270.675,6419912.188,54
"519","NSACHC0002",614644,6757458,54
"520","NSABBS0004",715724.694,6627992.718,55
"521","NSABHC0029",563868.012,6563319.948,54
"522","NSABBS0006",717572.23,6622479.512,55
"524","SATSTP0008",294396,6747171,54
"525","QDABBS0008",326907.319,6975799.215,55
"526","QDACYP0010",692195.697,8552025.726,54
"527","QDABBS0009",362829.213,6970081.048,56
"528","NSAMUL0004",312008.038,6771630.426,55
"529","NSANSS0002",623902.84,6366197.526,55
"531","SAABHC0004",455317,6457361,54
"533","QDACYP0002",305810.405,8309497.403,55
"535","SATSTP0002",360818.185,6607579.13,54
"537","QDACYP0024",630923.428,8632444.102,54
"538","SAAFLB0003",285180,6127339,54
"541","VCAAUA0013",477963,5859809,55
"542","NTTDMR0001",360791,8000470,53
"543","SATFLB0011",231785.49,6372969.907,54
"546","WAAGES0002",263733,6954853,50
"548","VCAAUA0012",513821,5894003,55
"549","VCAAUA0015",479161,5861955,55
"550","VCAAUA0014",478319,5860493,55
"551","SATFLB0024",268327.888,6594395.305,54
"553","QDABBS0002",564872.6,7253460.4,55
"554","QDACYP0012",672352.969,8526893.433,54
"555","NSAMDD0031",358485,6393575,55
"556","WAAMUR0004",458389.5,7069775.7,50
"557","SATFLB0014",311546.812,6235391.309,54
"559","QDAGUP0012",427817,7834639,54
"560","WAAPIL0022",510081,7613604,50
"561","QDACYP0005",713321.77,8435601.58,54
"562","WAAHAM0004",336901,6463529,52
"563","QDACYP0001",312383.708,8310143.653,55
"564","NSAMDD0032",352052,6376078,55
"565","SATFLB0020",329542,6651557,54
"567","QDACYP0003",315990.426,8310334.698,55
"568","SATFLB0018",338818.45,6655750.128,54
"570","QDABBN0001",618041.6,7360907.1,55
"571","QDAGUP0013",412143,7866003,54
"573","NTASTU0002",326265,8256078,53
"575","NTAFIN0005",334849,7323057,53
"577","NSACHC0001",622648,6742013,54
"578","SATFLB0002",308514.33,6160110.937,54
"580","SAAFLB0031",785099,6680697,53
"583","SATSTP0001",350035,6618036,54
"585","QDACYP0006",708524.623,8426335.521,54
"586","VCAAUA0003",528529,5920370,55
"587","SAAFLB0008",249348.698,6474564.298,54
"588","WAAYAL0008",502924.5,6738683.2,50
"589","NSACHC0003",587042,6768064,54
"590","QDACYP0023",633856.51,8636392.56,54
"591","WAGCOO0004",289370.692,6627613.118,51
"592","NTAARP0005",281321.6,8592209.8,53
"594","SATFLB0022",329596,6634891,54
"596","NSABHC0028",568439.136,6562872.448,54
"597","QDABBS0003",574995.6,7254704,55
"598","QDACYP0009",738463.063,8443710.573,54
"599","NSAMUL0001",306533,6763092,55
"600","NSAMUL0002",309697.484,6767139.289,55
"601","NSACHC0004",584151,6784375,54
"602","QDACYP0007",714211.51,8426397.83,54
"603","NTAFIN0016",328028,7291088,53
"605","QDACYP0021",659517.665,8790658.739,54
"606","QDABBS0006",324945.3,6995431.7,56
"607","SATFLB0015",292393.843,6131980.958,54
"610","NSABHC0012",570693,6561344,54
"611","WAASWA0001",396811,6420874,50
"612","WAACOO0030",241609,6454941,52
"613","WAADAL0005",503344.963,8066797.473,51
"614","WAANOK0002",200172,8314453.2,52
"615","NSABBS0002",689781,6537804,55
"616","WAAMAL0001",243246,6449433,52
"618","SATFLB0026",297783,6137264,54
"619","QDACYP0004",713556.027,8441103.306,54
"620","SATFLB0025",273588,6591828,54
"622","SAABHC0001",449435,6467985,54
"624","SATFLB0007",271643.291,6507602.069,54
"626","WAAGAS0001",250622,7409076,51
"628","SATKAN0003",282577,6073206,54
"630","SATEYB0001",289135,6179532,54
"631","NTAMGD0001",743436,7784261,53
"633","QDASSD0015",212761,7432990,54
"635","SAASTP0023",459268,6879577,53
"636","WAAJAF0001",514354,6169294,50
"637","SAAKAN0008",730251.6,6023638.9,53
"639","SAAGAW0007",550526.78,6620440.92,53
"641","WAAPIL0002",506978,7612408,50
"644","SATFLB0006",289225.344,6593186.429,54
"647","NTAMAC0002",337548,7349097,53
"648","WAANOK0001",200765.9,8315049.8,52
"649","QDASEQ0004",487774.3,6970266.4,56
"651","WAAGES0003",272331,6944481,50
"652","NTABRT0002",319763.8,7534824.8,53
"654","NTAPCK0004",267602.9,8603625.3,53
"656","WAADAL0002",463039.116,8021701.962,51
"657","SAASTP0028",484681,6934849,53
"658","WAANOK0008",229860.013,8364225.381,52
"659","WAAYAL0002",729519.7,7094363.4,49
"660","QDABBS0010",354244.7,6939925.2,56
"661","WAANOK0005",235263.2,8362694.4,52
"662","NSABBS0005",718823.328,6623746.665,55
"663","WAAMUR0007",465049.3,7035736.7,50
"664","WAAYAL0007",495386.2,6735952,50
"665","TCATCH0001",476693.6,5376669.3,55
"666","NTABRT0007",359803.7,7534720.4,53
"667","QDASEQ0002",364247.1,7023752.7,56
"668","NTABRT0008",339717.7,7577066.1,53
"669","NTAGFU0009",709035,7920028,53
"670","NTABRT0006",357247.3,7534518.9,53
"672","TCATCH0002",473696.5,5358518,55
"673","QDADEU0001",409199.8,7727833.1,55
"675","NTAPCK0006",268176.2,8600741.1,53
"676","WAAAVW0007",496855.6,6717653.9,50
"677","WAANOK0006",207731.3,8357325.7,52
"678","TCATCH0004",486500.7,5351607.9,55
"679","WAANOK0003",207304.5,8356801.7,52
"680","WAAMUR0003",463909.1,7027657.5,50
"681","WAASWA0003",397752,6421750,50
"682","TCATCH0007",455100.1,5363142,55
"683","NTATAN0004",384163.6,7686101.5,53
"684","NTATAN0001",417257.9,7710895.4,53
"685","NSANAN0001",226116.015,6646345.842,56
"686","NTAGFU0022",602697,8149952,53
"687","WAANOK0004",230143.2,8364178.1,52
"688","SAAEYB0022",594274.8,6255638.5,53
"689","SASMDD0008",477880,6232922.6,54
"692","QDACYP0014",668613.647,8650912.62,54
"693","SAASTP0017",661474,6919464,53
"694","WAAYAL0001",715838.8,7106431.2,49
"695","NSABBS0003",713809.693,6628728.976,55
"696","SAAEYB0010",675402.9,6098047.5,53
"697","SAAEYB0012",677369.6,6106076.3,53
"698","WAAAVW0006",496858.2,6725141.5,50
"699","NSABBS0001",688147,6537651,55
"700","WAAMUR0005",461009.3,7061279.9,50
"701","TCATNM0004",540278.06,5367352.45,55
"702","TCATCH0008",465764.9,5366013.4,55
"703","TCATNM0003",535834.76,5346046.909,55
"704","WAAYAL0004",729949.6,7094075.9,49
"705","WAACAR0001",237321.9,7076424.6,50
"706","TCATCH0012",507191.8,5339937,55
"707","SAAEYB0026",535969.9,6163450.2,53
"708","SAAEYB0028",535603.3,6161528.7,53
"709","TCATCH0005",472264.5,5352840.6,55
"710","NTAFIN0010",334702,7330057,53
"714","NTAFIN0001",344307,7331160,53
"716","WAAMUR0006",471905.2,7047314.7,50
"717","SAAMDD0008",362740,6198944,54
"719","SAAEYB0021",604477.9,6255137.1,53
"720","SAASTP0002",501557,7093904,53
"721","QDAGUP0029",729986,8136097,54
"722","WAADAL0004",463543,8021879.4,51
"724","NTAFIN0008",338741,7352551,53
"726","WAACAR0003",210813.6,7063996.4,50
"728","NTAMAC0001",334386,7348591,53
"730","NTAFIN0002",340741,7343843,53
"732","SAAMDD0007",362035.4,6196654.2,54
"734","TCATCH0003",473277.2,5354491.5,55
"735","TCABEL0001",545449.7,5344249.8,55
"736","TCATCH0009",468065.4,5362816.8,55
"737","SAAFLB0005",229427.047,6342110.114,54
"738","WAAMUR0008",483144.2,7041716.5,50
"739","TCATNM0005",550622.86,5372594.81,55
"740","SAAEYB0004",689308,6107939.8,53
"741","TCABEL0003",555876.5,5401731.8,55
"742","SAAGAW0005",537417,6592231,53
"743","QDABBS0001",577763,7256962.9,55
"744","SAABHC0005",460664.5,6462452.3,54
"745","SAAKAN0005",670121,6035408,53
"747","SAAEYB0023",606291.8,6258204.6,53
"748","SAABHC0003",457145,6465836,54
"750","TCATCH0011",474326.1,5366698.2,55
"751","SAABHC0006",469760.6,6470086,54
"752","SAAGAW0008",551579.2,6605772.2,53
"753","SAAMDD0009",360755.9,6197112.8,54
"755","WAACAR0004",222604.5,7080661.2,50
"756","NTATAN0003",382627.7,7686122,53
"757","NTABRT0003",321746.1,7534859.5,53
"759","TCABEL0002",555381.3,5400976.3,55
"760","TCATCH0010",473718.05,5373328.88,55
"761","TCATNM0006",545449.67,5344249.82,55
"762","QDABBS0005",577602.2,7260459.8,55
"763","WAAYAL0006",499997.7,6742611.6,50
"764","WAAYAL0003",731637,7092983.5,49
"765","NTABRT0004",357460.7,7534429.8,53
"767","SAAEYB0002",718463.7,6113131.3,53
"768","SAAEYB0008",702019.1,6119354.1,53
"769","WAAYAL0005",730569.9,7079055.6,49
"770","SAASTP0006",587199,7086352,53
"771","WAADAL0003",460793.1,8022862.4,51
"772","NTADMR0002",416409.2,7835345.7,53
"773","NTATAN0002",416735.6,7708304.7,53
"774","SAAEYB0006",691062.8,6110209.2,53
"775","NTADMR0001",454671.8,7860049.4,53
"777","SAASTP0007",581478,7084738,53
"778","TCATNM0002",534482.13,5344371.81,55
"780","WAAGES0001",255946,6953104,50
"781","TCATNM0001",526214.1,5375250.97,55
"782","SAAEYB0005",683950.9,6112608.3,53
"783","SAAEYB0009",668131.9,6097071.3,53
"784","SAASTP0008",578690,7083222,53
"785","SAAEYB0011",686543.6,6107736.9,53
"786","SAAEYB0013",691018.9,6103903.3,53
"787","NSANAN0002",226050,6646491,56
"788","SAASTP0011",545613,7071019,53
"789","SAAKAN0003",711052.3,6041999.4,53
"791","SAASTP0012",543177,7055270,53
"792","SAASTP0014",662390,6917083,53
"793","QDAEIU0008",415112.5,7800723.3,55
"794","SAASTP0026",489381,6926180,53
"795","SAASTP0018",639884,6853951,53
"796","QDAEIU0006",805517,7955701,54
"797","SAASTP0021",650166,6857256,53
"798","SASMDD0006",474803,6240830,54
"804","NSABHC0009",566520,6561297,54
