"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","vegetation_type"
"93","NTAARP0002",0,0,0,0,0,0,4.7,0,0,0,4.3,0,0.5,3.6,6.4,0,0,0,23.7,20.1,0.2,"Tree.Palm"
"94","NTAARP0003",0,0,0,0,0.1,0,0.6,0,0,0.1,0.9,0,0,0,3.7,0,0,0,19.4,6.9,0.3,"Tree.Palm"
"95","NTAARP0004",0,0,0,0,0,0,1.8,0,0,0,0,0,1.15,0.05,16.2,0,0,0,26.65,35.4,3.25,"Tussock.grass"
"96","NTAARP0005",0,0,0,0,0,0,6.75,0,0,0,23.35,0,0.4,0.85,25.35,0,0,0,40.45,7.25,0.25,"Tree.Palm"
"97","NTABRT0001",0,0,0.2,0,0,0.05,2.45,0,0,0,0.5,0,0,0,26.9,0,0,0,8.35,21,0.5,"Shrub"
"98","NTABRT0002",0,0,0.4,0,0,0.35,3.8,0,0,0,0,0,0,0,33.8,0,0,0,12,18.15,0,"Shrub"
"99","NTABRT0003",0,0,0.05,0,0,0.1,4.7,0,0,0,10.5,0,0,0,20.05,0,0,0,11.2,18.1,0,"Shrub"
"100","NTABRT0004",0,0,0.7,0,0,0,6.2,0,0,0,2,0,0,0,29.2,0,0,0,0,15.2,0,"Shrub"
"101","NTABRT0005",0,0,0,0,0,0,6.5,0,0,0,11.1,0,0,0,1.75,0,0,0,1.15,19.8,0,"Tussock.grass"
"102","NTABRT0006",0,0,0,0,0,0,11.65,0,0,0,0.75,0,0,0,32.55,0,0,0,1.05,16.6,0.3,"Shrub"
"103","NTABRT0007",0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,1,0,0,0,0.3,33.1,0,"Tussock.grass"
"104","NTABRT0008",0,0,0,0,0,0,4.5,0,0,0,6.3,0,0,0,17,0.1,0,0,0,0.1,0,"Shrub"
"105","NTADAC0001",0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,19.7,0,0,0,29.8,77.8,2,"Tussock.grass"
"106","NTADAC0002",0,0,0,0,0,0,15.3,0,0,0,0,0,0,0.1,24.1,0,0,0.1,26.6,24.7,0,"Tree.Palm"
"107","NTADMR0001",0,0,0,0,0,0,0.1,0,0,0.1,19,0,0,1.9,4.4,0,0,0,0.1,1.2,0.3,"Hummock.grass"
"108","NTADMR0002",0,0,0,0,0,0,0.7,0,0,0,24,0,0,0.2,1.4,1.5,0,0.4,0,0.6,0,"Hummock.grass"
