Label SW,site_location_name,site_location_id,established_date,point,latitude,longitude,threedcq,,,,
NSABHC0015,NSABHC0015,60350,5/02/2013,SW,-31.83394,141.05925,,,,,
,NSABHC0016,60351,6/12/2013,CENTRE,-31.83366306,141.0620653,5,,,,
,NSABHC0016,60351,6/12/2013,NE,-31.83325833,141.0626572,5,,,,
,NSABHC0016,60351,6/12/2013,NW,-31.83314139,141.0615686,5,,,,
,NSABHC0016,60351,6/12/2013,SE,-31.83416944,141.0625522,5,,,,
NSABHC0016,NSABHC0016,60351,6/12/2013,SW,-31.83403472,141.0614425,5,,,,
,NSABHC0017,60352,7/02/2013,CENTRE,-31.8429375,141.1932514,5,,,,
,NSABHC0017,60352,7/02/2013,NE,-31.84253194,141.1938428,5,,,,
,NSABHC0017,60352,7/02/2013,NW,-31.84241611,141.1927539,5,,,,
,NSABHC0017,60352,7/02/2013,SE,-31.84344333,141.1937389,5,,,,
NSABHC0017,NSABHC0017,60352,7/02/2013,SW,-31.84330972,141.1926289,5,,,,
NSABHC0018,NSABHC0018,60323,13/03/2013,SW,-32.249087,142.0537,,,,,
NSABHC0019,NSABHC0019,60324,15/03/2013,SW,-32.514855,141.549646,,,,,
NSABHC0020,NSABHC0020,60325,15/03/2013,SW,-32.264805,141.500681,,,,,
NSABHC0021,NSABHC0021,60344,19/04/2014,SW,-32.120072,141.868274,,,,,
NSABHC0022,NSABHC0022,60332,19/04/2014,SW,-30.666082,142.472433,5,,,,
NSABHC0023,NSABHC0023,60345,21/04/2014,SW,-31.34395,142.1365528,5,,,,
NSABHC0024,NSABHC0024,60346,22/04/2014,SW,-31.34679167,142.1485167,5,,,,
NSABHC0025,NSABHC0025,60347,2/06/2014,SW,-32.420531,141.535447,,,,,
NSABHC0026,NSABHC0026,60348,4/06/2014,SW,-31.778032,142.268019,,,,,
,NSABHC0028,60746,12/09/2016,CENTRE,-31.06553611,141.71785,5.48,,,,
,NSABHC0028,60746,12/09/2016,NE,-31.06508056,141.7183722,4.838,,,,
,NSABHC0028,60746,12/09/2016,NW,-31.06508333,141.717325,4.746,,,,
,NSABHC0028,60746,12/09/2016,SE,-31.06598611,141.7183722,5.077,,,,
NSABHC0028,NSABHC0028,60746,12/09/2016,SW,-31.06597778,141.717325,4.891,,,,
