"","tmin","time"
"738",10.30859375,1982-01-07
"739",14.548828125,1982-01-08
"740",15.638671875,1982-01-09
"741",15.388671875,1982-01-10
"742",10.939453125,1982-01-11
"743",9.8994140625,1982-01-12
"744",12.6494140625,1982-01-13
"745",20.21875,1982-01-14
"746",21.1591796875,1982-01-15
"747",15.7587890625,1982-01-16
"748",17.62890625,1982-01-17
"749",16.12890625,1982-01-18
"750",12.5693359375,1982-01-19
"751",15.55859375,1982-01-20
"752",11.5986328125,1982-01-21
"753",16.439453125,1982-01-22
"754",17.21875,1982-01-23
"755",12.298828125,1982-01-24
"756",10.4990234375,1982-01-25
"757",13.0185546875,1982-01-26
"758",13.44921875,1982-01-27
"759",15.2587890625,1982-01-28
"760",10.8193359375,1982-01-29
"761",12.9990234375,1982-01-30
"762",12.71875,1982-01-31
"763",14.83203125,1982-02-01
"764",21.501953125,1982-02-02
"765",16.2919921875,1982-02-03
"766",23.572265625,1982-02-04
"767",21.2119140625,1982-02-05
"768",16.181640625,1982-02-06
"769",13.0224609375,1982-02-07
"770",11.181640625,1982-02-08
"771",14.4921875,1982-02-09
"772",14.8017578125,1982-02-10
"773",15.65234375,1982-02-11
"774",17.2421875,1982-02-12
"775",16.8916015625,1982-02-13
"776",12.8017578125,1982-02-14
"777",9.8720703125,1982-02-15
"778",9.9423828125,1982-02-16
"779",7.232421875,1982-02-17
"780",12.3818359375,1982-02-18
"781",16.2021484375,1982-02-19
"782",8.65234375,1982-02-20
"783",10.8818359375,1982-02-21
"784",12.501953125,1982-02-22
"785",15.341796875,1982-02-23
"786",16.5615234375,1982-02-24
"787",18.681640625,1982-02-25
"788",15.5322265625,1982-02-26
"789",13.931640625,1982-02-27
"790",12.841796875,1982-02-28
"791",12.0185546875,1982-03-01
"792",12.46875,1982-03-02
"793",20.4091796875,1982-03-03
"794",17.6591796875,1982-03-04
"795",15.8486328125,1982-03-05
"796",15.109375,1982-03-06
"797",11.3486328125,1982-03-07
"798",8.958984375,1982-03-08
"799",8.1494140625,1982-03-09
"800",8.4091796875,1982-03-10
"801",11.859375,1982-03-11
"802",14.609375,1982-03-12
"803",14.529296875,1982-03-13
"804",15.8193359375,1982-03-14
"805",12.279296875,1982-03-15
"806",8.6591796875,1982-03-16
"807",10.46875,1982-03-17
"808",10.478515625,1982-03-18
"809",12.0888671875,1982-03-19
"810",19.208984375,1982-03-20
"811",12.888671875,1982-03-21
"812",6.8486328125,1982-03-22
"813",6.8388671875,1982-03-23
"814",12.109375,1982-03-24
"815",12.689453125,1982-03-25
"816",12.609375,1982-03-26
"817",9.6787109375,1982-03-27
"818",8.2890625,1982-03-28
"819",12.369140625,1982-03-29
"820",12.0986328125,1982-03-30
"821",12.21875,1982-03-31
"822",5.3095703125,1982-04-01
"823",10.4501953125,1982-04-02
"824",10.75,1982-04-03
"825",13.7900390625,1982-04-04
"826",13.73046875,1982-04-05
"827",16.0302734375,1982-04-06
"828",14.3701171875,1982-04-07
"829",11.7001953125,1982-04-08
"830",9.1298828125,1982-04-09
"831",14.8701171875,1982-04-10
"832",13.8896484375,1982-04-11
"833",3.5703125,1982-04-12
"834",9.51953125,1982-04-13
"835",8.91015625,1982-04-14
"836",7.099609375,1982-04-15
"837",8.490234375,1982-04-16
"838",9.08984375,1982-04-17
"839",11.009765625,1982-04-18
"840",11.6201171875,1982-04-19
"841",12.1796875,1982-04-20
"842",12.2001953125,1982-04-21
"843",6.3095703125,1982-04-22
"844",9.8603515625,1982-04-23
"845",11.900390625,1982-04-24
"846",9.4697265625,1982-04-25
"847",5.8896484375,1982-04-26
"848",7.2998046875,1982-04-27
"849",5.41015625,1982-04-28
"850",5.9501953125,1982-04-29
