"","tmin","time"
"273",10.90625,1980-09-29
"274",14.2958984375,1980-09-30
"275",7.19140625,1980-10-01
"276",10.5712890625,1980-10-02
"277",4.701171875,1980-10-03
"278",3.94140625,1980-10-04
"279",10.541015625,1980-10-05
"280",13.8505859375,1980-10-06
"281",7.12109375,1980-10-07
"282",7.390625,1980-10-08
"283",9.53125,1980-10-09
"284",8.7314453125,1980-10-10
"285",9.2109375,1980-10-11
"286",9.55078125,1980-10-12
"287",8.8505859375,1980-10-13
"288",6.470703125,1980-10-14
"289",8.4814453125,1980-10-15
"290",10.1611328125,1980-10-16
"291",9.390625,1980-10-17
"292",14.810546875,1980-10-18
"293",10.94140625,1980-10-19
"294",15.0712890625,1980-10-20
"295",8.041015625,1980-10-21
"296",11.7314453125,1980-10-22
"297",12.380859375,1980-10-23
"298",5.3310546875,1980-10-24
"299",5.701171875,1980-10-25
"300",8.4912109375,1980-10-26
"301",15.05078125,1980-10-27
"302",3.9208984375,1980-10-28
"303",6.9912109375,1980-10-29
"304",6.5810546875,1980-10-30
"305",7.220703125,1980-10-31
"306",7.01953125,1980-11-01
"307",4.1201171875,1980-11-02
"308",4.23046875,1980-11-03
"309",8.98046875,1980-11-04
"310",11.9404296875,1980-11-05
"311",12.4599609375,1980-11-06
"312",9.5,1980-11-07
"313",6.830078125,1980-11-08
"314",7.2197265625,1980-11-09
"315",9.7900390625,1980-11-10
"316",13.490234375,1980-11-11
"317",14.0302734375,1980-11-12
"318",21.7099609375,1980-11-13
"319",17.1103515625,1980-11-14
"320",15.3603515625,1980-11-15
"321",20.5498046875,1980-11-16
"322",21.08984375,1980-11-17
"323",23.4599609375,1980-11-18
"324",6.83984375,1980-11-19
"325",7.759765625,1980-11-20
"326",10.509765625,1980-11-21
"327",7.009765625,1980-11-22
"328",7.9296875,1980-11-23
"329",9.7197265625,1980-11-24
"330",10.6904296875,1980-11-25
"331",14.759765625,1980-11-26
"332",22.4501953125,1980-11-27
"333",16.26953125,1980-11-28
"334",12.1298828125,1980-11-29
"335",9.7900390625,1980-11-30
"336",13.8203125,1980-12-01
"337",19.400390625,1980-12-02
"338",15.08984375,1980-12-03
"339",9.9697265625,1980-12-04
"340",7.9599609375,1980-12-05
"341",12.6396484375,1980-12-06
"342",14.6396484375,1980-12-07
"343",16.3896484375,1980-12-08
"344",20.2197265625,1980-12-09
"345",22.1396484375,1980-12-10
"346",25.75,1980-12-11
"347",18.419921875,1980-12-12
"348",13.7802734375,1980-12-13
"349",10.0703125,1980-12-14
"350",7.669921875,1980-12-15
"351",11.5595703125,1980-12-16
"352",8.2802734375,1980-12-17
"353",6.9697265625,1980-12-18
"354",9.75,1980-12-19
"355",15.91015625,1980-12-20
"356",18.490234375,1980-12-21
"357",19.7802734375,1980-12-22
"358",13.150390625,1980-12-23
"359",12.1201171875,1980-12-24
"360",16.0498046875,1980-12-25
"361",12.8896484375,1980-12-26
"362",16.4599609375,1980-12-27
"363",18.0302734375,1980-12-28
"364",12.8701171875,1980-12-29
"365",11.8203125,1980-12-30
"366",15.4599609375,1980-12-31
"367",20.560546875,1981-01-01
"368",18.720703125,1981-01-02
"369",23.640625,1981-01-03
"370",11.970703125,1981-01-04
"371",13.2412109375,1981-01-05
"372",16.810546875,1981-01-06
"373",15.7412109375,1981-01-07
"374",20.7109375,1981-01-08
"375",23.361328125,1981-01-09
"376",19.720703125,1981-01-10
"377",12.640625,1981-01-11
"378",12.4609375,1981-01-12
"379",17.3310546875,1981-01-13
"380",26.021484375,1981-01-14
"381",23.9609375,1981-01-15
"382",24.2109375,1981-01-16
"383",24.1806640625,1981-01-17
"384",25.220703125,1981-01-18
"385",13.310546875,1981-01-19
"386",15.19140625,1981-01-20
"387",20.19140625,1981-01-21
"388",10.771484375,1981-01-22
"389",12.3408203125,1981-01-23
"390",16.62109375,1981-01-24
"391",19.0908203125,1981-01-25
"392",26.6005859375,1981-01-26
"393",21.8212890625,1981-01-27
"394",15.3212890625,1981-01-28
"395",13.630859375,1981-01-29
"396",13.701171875,1981-01-30
"397",16.630859375,1981-01-31
"398",16.65625,1981-02-01
"399",21.2763671875,1981-02-02
"400",22.7958984375,1981-02-03
"401",19.5859375,1981-02-04
"402",13.2763671875,1981-02-05
"403",14.2158203125,1981-02-06
"404",13.90625,1981-02-07
"405",17.9462890625,1981-02-08
"406",21.255859375,1981-02-09
"407",13.06640625,1981-02-10
"408",10.99609375,1981-02-11
"409",12.646484375,1981-02-12
"410",19.90625,1981-02-13
"411",25.236328125,1981-02-14
"412",24.4658203125,1981-02-15
"413",23.74609375,1981-02-16
"414",24.076171875,1981-02-17
"415",15.576171875,1981-02-18
"416",13.0361328125,1981-02-19
"417",11.2958984375,1981-02-20
"418",10.99609375,1981-02-21
"419",11.65625,1981-02-22
"420",12.1357421875,1981-02-23
"421",12.9560546875,1981-02-24
"422",13.56640625,1981-02-25
"423",13.2255859375,1981-02-26
"424",16.576171875,1981-02-27
"425",21.185546875,1981-02-28
"426",15.5537109375,1981-03-01
"427",13.1240234375,1981-03-02
"428",11.6240234375,1981-03-03
"429",9.4541015625,1981-03-04
"430",8.603515625,1981-03-05
"431",9.8935546875,1981-03-06
"432",13.6337890625,1981-03-07
"433",17.564453125,1981-03-08
"434",11.6943359375,1981-03-09
"435",8.82421875,1981-03-10
"436",8.6240234375,1981-03-11
"437",10.923828125,1981-03-12
"438",9.154296875,1981-03-13
"439",6.8037109375,1981-03-14
"440",7.43359375,1981-03-15
"441",8.7138671875,1981-03-16
"442",9.744140625,1981-03-17
"443",13.1337890625,1981-03-18
"444",17.423828125,1981-03-19
"445",13.25390625,1981-03-20
"446",5.7939453125,1981-03-21
"447",6.84375,1981-03-22
"448",9.8037109375,1981-03-23
"449",14.2841796875,1981-03-24
"450",5.9638671875,1981-03-25
"451",8.064453125,1981-03-26
"452",11.673828125,1981-03-27
"453",11.234375,1981-03-28
"454",14.2236328125,1981-03-29
"455",14.404296875,1981-03-30
"456",14.853515625,1981-03-31
"457",14.6083984375,1981-04-01
"458",16.59765625,1981-04-02
"459",17.9580078125,1981-04-03
"460",17.0576171875,1981-04-04
"461",16.6083984375,1981-04-05
"462",10.8779296875,1981-04-06
"463",8.3984375,1981-04-07
"464",10.98828125,1981-04-08
"465",13.59765625,1981-04-09
"466",6.5576171875,1981-04-10
"467",7.837890625,1981-04-11
"468",12.4580078125,1981-04-12
"469",9.5380859375,1981-04-13
"470",11.4580078125,1981-04-14
"471",10.0283203125,1981-04-15
"472",8.2978515625,1981-04-16
"473",7.98828125,1981-04-17
"474",8.09765625,1981-04-18
"475",9.068359375,1981-04-19
"476",8.578125,1981-04-20
"477",7.578125,1981-04-21
"478",7.2177734375,1981-04-22
"479",11.828125,1981-04-23
"480",14.0478515625,1981-04-24
"481",4.6083984375,1981-04-25
"482",3.748046875,1981-04-26
"483",11.517578125,1981-04-27
"484",2.8779296875,1981-04-28
"485",5.2978515625,1981-04-29
"486",5.0576171875,1981-04-30
"487",5.34375,1981-05-01
"488",10.1943359375,1981-05-02
"489",8.8837890625,1981-05-03
"490",6.404296875,1981-05-04
"491",10.6142578125,1981-05-05
"492",11.9140625,1981-05-06
"493",6.234375,1981-05-07
"494",8.8935546875,1981-05-08
"495",11.3037109375,1981-05-09
"496",4.8642578125,1981-05-10
"497",10.1943359375,1981-05-11
"498",7.6640625,1981-05-12
"499",4.833984375,1981-05-13
"500",5.50390625,1981-05-14
"501",7.583984375,1981-05-15
"502",12.064453125,1981-05-16
"503",8.6435546875,1981-05-17
"504",1.904296875,1981-05-18
"505",1.4736328125,1981-05-19
"506",2.3740234375,1981-05-20
"507",4.423828125,1981-05-21
"508",8.6640625,1981-05-22
"509",8.6943359375,1981-05-23
"510",11.25390625,1981-05-24
"511",6.853515625,1981-05-25
"512",7.6640625,1981-05-26
"513",9.43359375,1981-05-27
"514",5.7041015625,1981-05-28
"515",8.6435546875,1981-05-29
"516",9.244140625,1981-05-30
"517",10.8837890625,1981-05-31
"518",6.7958984375,1981-06-01
"519",7.685546875,1981-06-02
"520",6.396484375,1981-06-03
"521",7.7158203125,1981-06-04
"522",5.236328125,1981-06-05
"523",3.42578125,1981-06-06
"524",3.935546875,1981-06-07
"525",6.2255859375,1981-06-08
"526",7.5263671875,1981-06-09
"527",7.15625,1981-06-10
"528",7.765625,1981-06-11
"529",5.9755859375,1981-06-12
"530",7.486328125,1981-06-13
"531",7.7158203125,1981-06-14
"532",4.1162109375,1981-06-15
"533",3.255859375,1981-06-16
"534",3.2158203125,1981-06-17
"535",5.0859375,1981-06-18
"536",3.0556640625,1981-06-19
"537",2.845703125,1981-06-20
"538",4.166015625,1981-06-21
"539",4.7060546875,1981-06-22
"540",4.06640625,1981-06-23
"541",3.736328125,1981-06-24
"542",5.685546875,1981-06-25
"543",7.2158203125,1981-06-26
"544",8.31640625,1981-06-27
"545",6.595703125,1981-06-28
"546",7.5859375,1981-06-29
"547",8.74609375,1981-06-30
"548",8.52734375,1981-07-01
"549",6.046875,1981-07-02
"550",4.8974609375,1981-07-03
"551",5.4765625,1981-07-04
"552",5.197265625,1981-07-05
"553",5.5673828125,1981-07-06
"554",4.0966796875,1981-07-07
"555",4.046875,1981-07-08
"556",3.6474609375,1981-07-09
"557",2.947265625,1981-07-10
"558",4.607421875,1981-07-11
"559",2.376953125,1981-07-12
"560",2.6171875,1981-07-13
"561",3.806640625,1981-07-14
"562",3.6572265625,1981-07-15
"563",4.107421875,1981-07-16
"564",2.8974609375,1981-07-17
"565",3.857421875,1981-07-18
"566",3.787109375,1981-07-19
"567",7.3466796875,1981-07-20
"568",11.1767578125,1981-07-21
"569",7.8369140625,1981-07-22
"570",5.806640625,1981-07-23
"571",7.037109375,1981-07-24
"572",5.7666015625,1981-07-25
"573",5.9267578125,1981-07-26
"574",2.6767578125,1981-07-27
"575",4.9970703125,1981-07-28
"576",4.876953125,1981-07-29
"577",3.6865234375,1981-07-30
"578",4.20703125,1981-07-31
"579",3.5654296875,1981-08-01
"580",6.0849609375,1981-08-02
"581",8.5048828125,1981-08-03
"582",6.7451171875,1981-08-04
"583",5.544921875,1981-08-05
"584",3.705078125,1981-08-06
"585",4.775390625,1981-08-07
"586",5.5546875,1981-08-08
"587",4.5947265625,1981-08-09
"588",6.365234375,1981-08-10
"589",6.2646484375,1981-08-11
"590",6.875,1981-08-12
"591",4.974609375,1981-08-13
"592",6.89453125,1981-08-14
"593",3.9345703125,1981-08-15
"594",6.8046875,1981-08-16
"595",8.205078125,1981-08-17
"596",5.275390625,1981-08-18
"597",7.6552734375,1981-08-19
"598",6.5146484375,1981-08-20
"599",5.60546875,1981-08-21
"600",5.7353515625,1981-08-22
"601",1.115234375,1981-08-23
"602",2.1552734375,1981-08-24
"603",2.0849609375,1981-08-25
"604",5.1953125,1981-08-26
"605",2.0849609375,1981-08-27
"606",-0.3447265625,1981-08-28
"607",0.5546875,1981-08-29
"608",2.4248046875,1981-08-30
"609",4.64453125,1981-08-31
"610",3.2958984375,1981-09-01
"611",6.646484375,1981-09-02
"612",8.7861328125,1981-09-03
"613",6.1962890625,1981-09-04
"614",4.685546875,1981-09-05
"615",6.4462890625,1981-09-06
"616",7.7763671875,1981-09-07
"617",11.185546875,1981-09-08
"618",7.65625,1981-09-09
"619",10.396484375,1981-09-10
"620",9.1064453125,1981-09-11
"621",4.9560546875,1981-09-12
"622",7.65625,1981-09-13
"623",6.4560546875,1981-09-14
"624",9.9755859375,1981-09-15
"625",12.8359375,1981-09-16
"626",15.17578125,1981-09-17
"627",13.7158203125,1981-09-18
"628",9.2958984375,1981-09-19
"629",8.6064453125,1981-09-20
"630",15.755859375,1981-09-21
