"","site_unique","Andropogoneae","Chloridoideae","non_applicable/no_tribe","latitude","longitude"
"117","NTADMR0001-58868",0.1,0.1,27,-19.3530953,134.5673747
"118","NTADMR0002-58869",0,0,28.8,-19.5750838,134.2030725
"119","NTAFIN0001-53519",0.1,0.1,22.6,-24.1243027777778,133.467922222222
"120","NTAFIN0001-58009",0.2,1.7,11.3,-24.1243027777778,133.467922222222
"121","NTAFIN0001-58735",0.1,0.3,17.5,-24.1243027777778,133.467922222222
"122","NTAFIN0002-53622",0,18.7,78.8,-24.0094222222222,133.434311111111
"123","NTAFIN0002-58018",0,7.1,54.8,-24.0094222222222,133.434311111111
"124","NTAFIN0002-58787",0,3.8,58.2,-24.0094222222222,133.434311111111
"125","NTAFIN0003-53623",0.5,0,28.6,-24.1322027777778,133.477008333333
"126","NTAFIN0003-58017",0.1,0.1,28.9,-24.1322027777778,133.477008333333
"127","NTAFIN0003-58788",0.1,7.7,27.6,-24.1322027777778,133.477008333333
"128","NTAFIN0004-53624",0,0,84.1,-24.1872416666667,133.376366666667
"129","NTAFIN0004-58010",0,0,54,-24.1872416666667,133.376366666667
"130","NTAFIN0004-58789",0,0.2,53.3,-24.1872416666667,133.376366666667
"131","NTAFIN0005-53625",0,0,45,-24.1965,133.373936111111
"132","NTAFIN0005-58011",0,0,19.7,-24.1965,133.373936111111
"133","NTAFIN0005-58736",0,0.2,20.6,-24.1965,133.373936111111
"134","NTAFIN0006-53626",0,0.1,2,-24.1775916666667,133.379402777778
"135","NTAFIN0006-58012",0,1.5,11.3,-24.1775916666667,133.379402777778
"136","NTAFIN0006-58737",0,2,25.7,-24.1775916666667,133.379402777778
"137","NTAFIN0007-53627",0,1.3,8.1,-23.9411861111111,133.436038888889
"138","NTAFIN0007-58013",0,9.3,7.6,-23.9411861111111,133.436038888889
"139","NTAFIN0007-58715",0,5.6,30.1,-23.9411861111111,133.436038888889
"140","NTAFIN0008-53628",0,0.2,5.6,-23.930625,133.415494444444
"141","NTAFIN0008-58014",0.1,0.2,46,-23.930625,133.415494444444
"142","NTAFIN0008-58790",0,0.5,46.4,-23.930625,133.415494444444
"143","NTAFIN0009-53629",0,0,16,-24.1280194444444,133.390894444444
"144","NTAFIN0009-58015",0,0,32.7,-24.1280194444444,133.390894444444
"145","NTAFIN0009-58738",0,3.4,36.5,-24.1280194444444,133.390894444444
"146","NTAFIN0010-53630",0,0,10.4,-24.1332916666667,133.373297222222
"147","NTAFIN0010-58016",0,0.3,31.2,-24.1332916666667,133.373297222222
"148","NTAFIN0010-58786",0,0.5,29.4,-24.1332916666667,133.373297222222
"149","NTAFIN0011-53631",0,0,73.7,-24.1618805555556,133.327180555556
"150","NTAFIN0011-58019",0,0.4,38.6,-24.1618805555556,133.327180555556
"151","NTAFIN0011-58739",0,3,31.5,-24.1618805555556,133.327180555556
"152","NTAFIN0012-53632",0,16.4,32.3,-24.5692277777778,133.142097222222
"153","NTAFIN0013-53633",0.4,1.7,41.2,-24.5415361111111,133.184572222222
"154","NTAFIN0014-53634",0,0.9,47.3,-24.5309111111111,133.169541666667
"155","NTAFIN0015-53635",0,1,46.8,-24.5156972222222,133.222825
"156","NTAFIN0016-53636",0,25.4,4.7,-24.4843638888889,133.302966666667
"157","NTAFIN0017-53637",0,0.2,35.6,-24.3774861111111,132.960286111111
"158","NTAFIN0018-53638",0,7.7,27.7,-24.3646638888889,132.949441666667
"159","NTAFIN0019-53639",0,0.2,59.5,-24.3581777777778,132.935747222222
"160","NTAFIN0020-53640",0,1.2,53.7,-24.6685694444444,133.401686111111
"161","NTAFIN0021-53641",0,7.7,4.9,-24.6720166666667,133.463872222222
"162","NTAFIN0022-53642",0,4.2,23.8,-24.6311888888889,133.452183333333
"163","NTAFIN0023-53643",0,0.1,45.3,-24.5597722222222,133.437363888889
"164","NTAFIN0024-53644",0,0,26.5,-24.9175722222222,133.659202777778
"165","NTAFIN0025-53645",0,6.2,30.7,-24.8183638888889,133.676455555556
"166","NTAFIN0026-53646",0,20.8,34.3,-23.9072555555556,133.749905555556
"167","NTAFIN0027-53647",0,37.5,7.4,-23.8357277777778,133.633302777778
"168","NTAFIN0028-53746",0,3.6,11.3,-25.7699305555556,133.393080555556
"169","NTAFIN0029-53747",0,14.9,8.7,-25.737475,133.438483333333
"170","NTAFIN0030-53748",0,3.6,58.4,-25.9481083333333,133.781244444444
"171","NTAFIN0031-53749",0,0.1,19,-25.8998916666667,133.896594444444
"172","NTAFIN0032-53750",0,0.1,53.5,-23.9537666666667,133.92255
"173","NTAFIN0033-53751",0,6.2,40.7,-24.0336583333333,133.971755555556
"174","NTAGFU0001-53648",10,8.1,44.9,-18.9055055555556,137.069263888889
"175","NTAGFU0002-53649",0.7,4.8,50.3,-18.9181194444444,137.052238888889
"176","NTAGFU0003-53650",16.9,0,43.7,-18.6343694444444,137.124438888889
"177","NTAGFU0004-53651",0.5,0,31.4,-18.6240555555556,137.12345
"178","NTAGFU0005-53652",5.5,0.5,75.7,-18.6531916666667,137.121141666667
"179","NTAGFU0006-53653",46.8,0.6,39.8,-18.7786916666667,136.847072222222
"180","NTAGFU0007-53654",0.2,0,91.1,-18.7769138888889,136.826202777778
"181","NTAGFU0008-53655",0.2,0.8,38.1,-18.786075,136.865338888889
"182","NTAGFU0009-53656",10.8,0,51.7,-18.800975,136.983425
"183","NTAGFU0010-53657",0.1,0,65.3,-17.8962777777778,137.100602777778
"184","NTAGFU0011-53658",14.6,0.6,66.8,-17.8957055555556,137.072363888889
"185","NTAGFU0012-53659",12.5,0,49.5,-17.8956416666667,137.018994444444
"186","NTAGFU0013-53660",34.4,0,49.7,-17.8959083333333,137.011625
"187","NTAGFU0014-53661",3.8,7.5,30.7,-17.7517888888889,136.9389
"188","NTAGFU0015-53662",8.2,0,61.9,-17.7444611111111,136.94305
"189","NTAGFU0016-53663",38.8,0.4,29.1,-17.2208861111111,137.260258333333
"190","NTAGFU0017-53664",22.1,1.3,73.6,-17.3548972222222,137.157961111111
