"","site_location_name","pit_marker_easting","pit_marker_northing","pit_marker_mga_zones","latitude","longitude"
"210","WAAPIL0007",497419,7602900,50,-21.6771416666667,116.973991666667
"211","WAAPIL0032",729120,7434293,50,-23.1856638888889,119.237930555556
"212","WAANUL0003",724008,6710139,51,-29.7187777777778,125.315836111111
"215","QDACHC0001",729498,7332390,54,-24.1046,143.257294444444
"216","NTASSD0016",551213,7222758,53,-25.1101138888889,135.507997222222
"217","SAAGVD0003",640524,6755503,52,-29.3216888888889,130.446161111111
"219","NTAFIN0006",335381,7325157,53,-24.1775916666667,133.379402777778
"221","WAAPIL0010",601296,7582782,50,-21.8570333333333,117.97935
"222","WAAPIL0008",572914,7604321,50,-21.6628833333333,117.704727777778
"223","QDACYP0020",660410.678,8790682.614,54,-10.9361666666667,142.466988888889
"224","NSAMDD0009",506188,6299872,54,-33.4404944444444,141.065522222222
"225","NSAMDD0022",384473,6323058,55,-33.2252222222222,145.760172222222
"226","NTAFIN0028",338858,7148812,53,-25.7699305555556,133.393080555556
"227","NTAGFU0011",719554,8020133,53,-17.8957055555556,137.072363888889
"228","NTAGFU0034",437552,8445315,53,-14.062225,134.421583333333
"229","NTAGFU0035",437450,8446903,53,-14.0478638888889,134.420675
"230","NTAGFU0010",722546,8020036,53,-17.8962777777778,137.100602777778
"231","QDAMGD0011",735370,7334902,54,-24.0806305555556,143.315183333333
"232","NSABHC0018",599260,6431467.29,54,-32.249087,142.0537
"233","NTAFIN0022",343335,7275007,53,-24.6311888888889,133.452183333333
"234","NTASSD0015",562183,7221180,53,-25.1239333333333,135.616791666667
"235","SAAEYB0001",717218,6184642,53,-34.4568,137.364630555556
"236","WAAGES0004",274672.6,6956535.5,50,-27.4970724972627,114.71816978296
"237","QDAMII0001",418277,7842788,54,-19.50785,140.221358333333
"238","SATFLB0013",278568.8,6244873.7,54,-33.9141962,138.60380994
"240","WAAPIL0009",585277,7581021,50,-21.8727972222222,117.824405555556
"241","WAAPIL0011",603332,7578902,50,-21.891925,117.999286111111
"242","NSABHC0023",608114,6531721,54,-31.34395,142.136552777778
"243","QDAGUP0020",495752,8118937,54,-17.0135583333333,140.960225
"244","QDAMGD0013",710889,7508587,54,-22.5161777777778,143.050230555556
"245","WAACOO0029",272061,6630844,51,-30.4328972222222,120.626683333333
"246","WAAPIL0015",596159,7499423,50,-22.6092777777778,117.93565
"248","SATKAN0004",320905,6133401,54,-34.9271666666667,139.038147222222
"249","QDAGUP0010",587425,7797824,54,-19.9148527777778,141.834283333333
"250","WAACOO0028",275210,6624857,51,-30.4875833333333,120.658136111111
"252","NTAMGD0005",338962,8069381,53,-17.4558472222222,133.483566666667
"253","WAAPIL0016",630244,7486626,50,-22.7235888888889,118.268075
"255","NTAARP0004",281343.04,8596103.05,53,-12.6917831785377,132.986464155063
"257","WAAPIL0025",778255,7486345,50,-22.7082138888889,119.708686111111
"258","NTTMGD0001",332465,8088444,53,-17.2829694444444,133.423894444444
"259","QDACHC0005",507369,7376590,54,-23.721675,141.072305555556
"260","QDAEIU0001",207205,7837199,55,-19.5387138888889,144.210019444444
"261","WAAHAM0003",432687,6485038,52,-31.7691,128.288088888889
"262","WAACOO0025",268825,6657157,51,-30.1951194444444,120.598783333333
"263","WAACOO0021",273813,6657572,51,-30.1923333333333,120.650611111111
"264","WAAVIB0004",403393,8250950,52,-15.8196055555556,128.097883333333
"265","WAASWA0004",377658,6528071,50,-31.3754861111111,115.713483333333
"266","QDAMGD0019",627090,7558890,54,-22.0701222222222,142.231813888889
"267","NTASTU0004",283987,8355867,53,-14.8638388888889,132.991402777778
"268","NTASTU0005",290098,8350956,53,-14.9086444444444,133.047788888889
"269","QDAGUP0006",646817,7792803,54,-19.95565,142.402102777778
"270","SASMDD0014",472900,6233681,54,-34.0377583333333,140.705413888889
"271","WAACOO0017",243148.7,6548470.5,51,-31.1696361111111,120.304930555556
"273","QDAGUP0027",518786,8078869,54,-17.3757277777778,141.175841666667
"274","QDAGUP0011",586622,7794964,54,-19.9398194444444,141.827775
"275","NTASSD0008",656673,7147932,53,-25.7783361111111,136.562461111111
"276","WAAPIL0030",769325,7419290,50,-23.3147388888889,119.632483333333
"277","QDAMGD0012",280134,7253029,55,-24.8218222222222,144.823608333333
"278","NSABHC0001",541017.94,6471303.4719,54,-31.8933505555556,141.433754444444
"279","NSAMDD0012",524891,6319496,54,-33.2631611111111,141.266244444444
"280","NSTSYB0001",327094,6272498,56,-33.6733444444444,151.134961111111
"281","NTASSD0014",537363,7219725,53,-25.1378694444444,135.3707
"282","QDACHC0004",509382,7376994,54,-23.7187722222222,141.091861111111
"283","NTAPCK0005",265305.743,8609171.55,53,-12.5733706,132.8388484
"284","NSABHC0026",620072,6483469,54,-31.778032,142.268019
"285","NTAPCK0007",267088.6,8595888.8,53,-12.6936751052381,132.854274250021
"287","NSAMDD0008",506695,6300938,54,-33.4309611111111,141.072030555556
"289","NTAFIN0003",345247,7330291,53,-24.1322027777778,133.477008333333
"291","NSABHC0024",609249,6531394,54,-31.3467916666667,142.148516666667
"292","NSABHC0002",540928,6467571,54,-31.9270269444444,141.432960833333
"293","NSAMDD0001",643774,6216357,54,-34.1839194444444,142.560225
"294","NSABHC0007",572283,6470268,54,-31.9011336111111,141.764431944444
"295","NTASSD0012",511628,7179329,53,-25.5032166666667,135.115711111111
"296","NSAMDD0024",277555,6381451,55,-32.6822083333333,144.627461111111
"297","NSTSYB0006",244083,6310951,56,-33.3110111111111,150.251194444444
"298","NSTSYB0007",233757,6308547,56,-33.3293666666667,150.139719444444
"299","SAANUL0001",221808,6570553,53,-30.9657583333333,132.087641666667
"300","NSAMDD0010",527294,6303492,54,-33.4076027777778,141.293472222222
"301","NTAGFU0023",588437,8139741,53,-16.8238944444444,135.830038888889
"302","NTAGFU0037",380735,8377474,53,-14.673675,133.892355555556
"303","NSAMDD0021",380431,6325713,55,-33.2008361111111,145.717186111111
"304","NSAMDD0023",279659,6380615,55,-32.6900916666667,144.649777777778
"305","QDAMGD0016",720118,7509253,54,-22.5089638888889,143.139880555556
"306","NTTSTU0001",315602,8160540,53,-16.6302416666667,133.271158333333
"307","QDAMGD0015",711623,7503402,54,-22.5629305555556,143.058172222222
"308","QDAGUP0025",483142,8069768,54,-17.4580194444444,140.840233333333
"309","QDAGUP0028",519010,8087797,54,-17.2950416666667,141.178916666667
"310","QDAGUP0009",600590,7805389,54,-19.8458694444444,141.960686111111
"311","QDAMGD0028",196305,7791511,54,-19.9491388888889,138.098630555556
"312","NTTDMR0003",358924,8001320,53,-18.0720444444444,133.666930555556
"313","SAASTP0019",645080,6855416,53,-28.4196569444444,136.481239722222
"315","WAACOO0005",766566,6500163,50,-31.6028805555556,119.809605555556
"316","SASMDD0012",477331,6231258,54,-34.0591388888889,140.754347222222
"318","WAACOO0007",766364,6499727,50,-31.6067222222222,119.807547222222
"319","NSABHC0008",550011,6472087,54,-31.8859216666667,141.52881
"321","TCATCH0006",471165.4,5353960.4,55,-41.9658046875666,146.652027274331
"322","QDACYP0022",657352.836,8807168.132,54,-10.7881638888889,142.438255555556
"323","SATFLB0004",268525,6531520,54,-31.3277361111111,138.567330555556
"325","WAAHAM0001",432570,6461129,52,-31.9848333333333,128.285241666667
"326","WAACOO0009",245332,6540813,51,-31.2391138888889,120.326108333333
"327","WAAPIL0034",215365,7420314,51,-23.3019861111111,120.217119444444
"328","QDACHC0003",720023,7331187,54,-24.1163777777778,143.164894444444
"329","WAAPIL0035",228595,7413576,51,-23.365975,120.344155555556
"330","NSABHC0013",557162,6534343,54,-31.3239188888889,141.600803055556
"331","WAAPIL0024",714556,7513976,50,-22.4671,119.085222222222
"332","NSABHC0021",581907.48,6445925.41,54,-32.120072,141.868274
"333","WAAGES0005",270368.4,6952738.2,50,-27.5296808057064,114.674852716393
"334","NSANET0001",374453,6762900,56,-29.2564805555556,151.707944444444
"335","WAAPIL0005",505817,7614641,50,-21.5712388888889,117.056258333333
